,experiment,prep_date,culture,timing,neuron,auc,firing_rate,coef,power_auc,group
0,iTBS,07-04-2022,4-1-1,24h,1,0.46856382799125784,4,0.016546854309597937,65.07154885191481,control
1,iTBS,07-04-2022,4-1-1,24h,2,4.043973429256134,3,0.016546854309597937,4.3302316251567285,control
2,iTBS,07-04-2022,4-1-1,24h,4,11.125747266813665,2,0.016546854309597937,1.8354330837603738,control
3,iTBS,07-04-2022,4-1-1,24h,5,4.782486169148412,2,0.016546854309597937,80.27742468670311,control
4,iTBS,07-04-2022,4-1-1,24h,6,24.902303241147123,1,0.016546854309597937,17.621584010462666,control
5,iTBS,07-04-2022,4-1-1,24h,8,7.91411099633037,2,0.016546854309597937,3.0447593330712923,control
6,iTBS,07-04-2022,4-1-1,24h,9,4.949490429230063,1,0.016546854309597937,5.026503498901381,control
7,iTBS,07-04-2022,4-1-1,24h,10,4.048022932463371,3,0.016546854309597937,9.26950747189981,control
8,iTBS,07-04-2022,4-1-1,24h,11,5.203322638093077,0,0.016546854309597937,4.261070174615173,control
9,iTBS,07-04-2022,4-1-1,24h,12,8.178788507424212,3,0.016546854309597937,1.9793592385359327,control
10,iTBS,07-04-2022,4-1-1,24h,14,0.7200319168510214,1,0.016546854309597937,0.834756615578085,control
11,iTBS,07-04-2022,4-1-1,24h,15,17.515444030619605,2,0.016546854309597937,1.9011432174838063,control
12,iTBS,07-04-2022,4-1-1,24h,16,12.502216521801476,1,0.016546854309597937,437.3826481476786,control
13,iTBS,07-04-2022,4-1-1,24h,17,3.273620582219402,2,0.016546854309597937,283.4264899376751,control
14,iTBS,07-04-2022,4-1-1,24h,18,20.52626513331731,2,0.016546854309597937,28.058141886503677,control
15,iTBS,07-04-2022,4-1-1,24h,20,0.36608136147401205,3,0.016546854309597937,20.98840796732345,control
16,iTBS,07-04-2022,4-1-1,24h,21,6.703325795667295,4,0.016546854309597937,2631.620373429323,control
17,iTBS,07-04-2022,4-1-1,24h,22,8.260591126094807,0,0.016546854309597937,158.54833413884958,control
18,iTBS,07-04-2022,4-1-1,24h,23,1.454906404714861,4,0.016546854309597937,10.044781774020537,control
19,iTBS,07-04-2022,4-1-1,24h,24,1.1288427998130723,4,0.016546854309597937,449.9712985417258,control
20,iTBS,07-04-2022,4-1-1,24h,25,0.1550224154858184,1,0.016546854309597937,20.2695548586672,control
21,iTBS,07-04-2022,4-1-1,24h,26,1.8940899121556094,1,0.016546854309597937,3.195332758629018,control
22,iTBS,07-04-2022,4-1-1,24h,27,0.9405538786632639,2,0.016546854309597937,8.530023890487662,control
23,iTBS,07-04-2022,4-1-1,24h,28,3.355078036767177,5,0.016546854309597937,199.22665746138858,control
24,iTBS,07-04-2022,4-1-1,24h,29,0.1554697721266436,3,0.016546854309597937,69.86881070469593,control
25,iTBS,07-04-2022,4-1-1,24h,30,8.103826026635197,3,0.016546854309597937,109.40687404043948,control
26,iTBS,07-04-2022,4-1-1,24h,31,0.843452498211736,0,0.016546854309597937,19.644550795094542,control
27,iTBS,07-04-2022,4-1-1,24h,32,10.450286584685362,8,0.016546854309597937,294.72256391435553,control
28,iTBS,07-04-2022,4-1-1,24h,33,0.3217667209717052,2,0.016546854309597937,67.71422287438453,control
29,iTBS,07-04-2022,4-1-1,24h,34,8.71869469648877,4,0.016546854309597937,52.68096657953827,control
30,iTBS,07-04-2022,4-1-1,24h,35,3.4436539290894403,1,0.016546854309597937,146.20661941140617,control
31,iTBS,07-04-2022,4-1-1,24h,36,0.20668717444896734,4,0.016546854309597937,194.8589465774134,control
32,iTBS,07-04-2022,4-1-1,24h,37,7.967789971410579,2,0.016546854309597937,15.043192947558156,control
33,iTBS,07-04-2022,4-1-1,24h,38,0.17917007425889264,1,0.016546854309597937,698.4689621592182,control
34,iTBS,07-04-2022,4-1-1,24h,39,7.997239256542581,2,0.016546854309597937,53.67782088179802,control
35,iTBS,07-04-2022,4-1-1,24h,40,3.784258990570109,3,0.016546854309597937,124.02767881807257,control
36,iTBS,07-04-2022,4-1-1,24h,41,20.594338087242544,0,0.016546854309597937,22.572348298331544,control
37,iTBS,07-04-2022,4-1-1,24h,42,2.0301623464233316,2,0.016546854309597937,2.5229395341047898,control
38,iTBS,07-04-2022,4-1-1,24h,44,6.4333004329860355,2,0.016546854309597937,86.18877707751685,control
39,iTBS,07-04-2022,4-1-1,24h,45,9.860941883539816,0,0.016546854309597937,21.384743480843348,control
40,iTBS,07-04-2022,4-1-1,24h,46,17.00536379623555,2,0.016546854309597937,299.3074190861825,control
41,iTBS,07-04-2022,4-1-1,24h,47,5.446116078671604,5,0.016546854309597937,58.670425294969945,control
42,iTBS,07-04-2022,4-1-1,24h,48,0.8739779880796106,2,0.016546854309597937,30.95297760231727,control
43,iTBS,07-04-2022,4-1-1,24h,49,4.895700012415668,2,0.016546854309597937,111.39509913504281,control
44,iTBS,07-04-2022,4-1-1,24h,50,2.34883231107037,4,0.016546854309597937,1007.122969296334,control
45,iTBS,07-04-2022,4-1-1,24h,51,4.297628221283208,0,0.016546854309597937,3.1418669403827995,control
46,iTBS,07-04-2022,4-1-1,24h,52,0.05876096076747128,3,0.016546854309597937,493.2071941537581,control
47,iTBS,07-04-2022,4-1-1,24h,53,14.659450276000587,6,0.016546854309597937,46.23828018819322,control
48,iTBS,07-04-2022,4-1-1,24h,54,0.8850527890394615,1,0.016546854309597937,58.69548764756313,control
49,iTBS,07-04-2022,4-1-1,24h,55,7.838435905194945,4,0.016546854309597937,26.772539992085925,control
