,Unnamed: 0,experiment,prep_date,culture,timing,neuron,auc,firing_rate,coef,power_auc,group
0,0,iTBS,07-04-2022,4-1-1,24h-post,1,0.4685638279912578,4,0.0165468543095979,65.07154885191481,control
1,1,iTBS,07-04-2022,4-1-1,24h-post,2,4.043973429256134,3,0.0165468543095979,4.3302316251567285,control
2,2,iTBS,07-04-2022,4-1-1,24h-post,4,11.125747266813663,2,0.0165468543095979,1.8354330837603736,control
3,3,iTBS,07-04-2022,4-1-1,24h-post,5,4.782486169148412,2,0.0165468543095979,80.27742468670311,control
4,4,iTBS,07-04-2022,4-1-1,24h-post,6,24.902303241147123,1,0.0165468543095979,17.621584010462666,control
5,5,iTBS,07-04-2022,4-1-1,24h-post,8,7.91411099633037,2,0.0165468543095979,3.0447593330712923,control
6,6,iTBS,07-04-2022,4-1-1,24h-post,9,4.949490429230063,1,0.0165468543095979,5.026503498901381,control
7,7,iTBS,07-04-2022,4-1-1,24h-post,10,4.048022932463371,3,0.0165468543095979,9.26950747189981,control
8,8,iTBS,07-04-2022,4-1-1,24h-post,11,5.203322638093077,0,0.0165468543095979,4.261070174615173,control
9,9,iTBS,07-04-2022,4-1-1,24h-post,12,8.178788507424212,3,0.0165468543095979,1.9793592385359329,control
10,10,iTBS,07-04-2022,4-1-1,24h-post,14,0.7200319168510214,1,0.0165468543095979,0.834756615578085,control
11,11,iTBS,07-04-2022,4-1-1,24h-post,15,17.515444030619605,2,0.0165468543095979,1.9011432174838063,control
12,12,iTBS,07-04-2022,4-1-1,24h-post,16,12.502216521801476,1,0.0165468543095979,437.3826481476786,control
13,13,iTBS,07-04-2022,4-1-1,24h-post,17,3.273620582219402,2,0.0165468543095979,283.4264899376751,control
14,14,iTBS,07-04-2022,4-1-1,24h-post,18,20.52626513331731,2,0.0165468543095979,28.05814188650368,control
15,15,iTBS,07-04-2022,4-1-1,24h-post,20,0.366081361474012,3,0.0165468543095979,20.98840796732345,control
16,16,iTBS,07-04-2022,4-1-1,24h-post,21,6.703325795667295,4,0.0165468543095979,2631.620373429323,control
17,17,iTBS,07-04-2022,4-1-1,24h-post,22,8.260591126094807,0,0.0165468543095979,158.54833413884958,control
18,18,iTBS,07-04-2022,4-1-1,24h-post,23,1.454906404714861,4,0.0165468543095979,10.044781774020535,control
19,19,iTBS,07-04-2022,4-1-1,24h-post,24,1.1288427998130723,4,0.0165468543095979,449.9712985417258,control
20,20,iTBS,07-04-2022,4-1-1,24h-post,25,0.1550224154858184,1,0.0165468543095979,20.2695548586672,control
21,21,iTBS,07-04-2022,4-1-1,24h-post,26,1.8940899121556092,1,0.0165468543095979,3.195332758629018,control
