,spine_ID,Label,Area,IntDen,RawIntDen,batch,culture,segment_ID,time,group,segment,time_cor,normed_size,summed_size
7,8,MAX_W4-C1-63xz-day1.tif,1.04,127.721,13022.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,0.36903131482990364,111.106
8,9,MAX_W4-C1-63xz-day1.tif,0.618,53.18,5422.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,1.0495569282993547,111.106
9,10,MAX_W4-C1-63xz-day1.tif,0.667,58.221,5936.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,1.8429032666497847,111.106
10,11,MAX_W4-C1-63xz-day1.tif,0.883,77.347,7886.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,2.7363002794778364,111.106
11,12,MAX_W4-C1-63xz-day1.tif,0.775,26.345,2686.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,0.5249262771977364,111.106
12,13,MAX_W4-C1-63xz-day1.tif,0.814,58.574,5972.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,1.0921668438030243,111.106
13,14,MAX_W4-C1-63xz-day1.tif,0.5,29.611,3019.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,0.3847883150973309,111.106
14,15,MAX_W4-C1-63xz-day1.tif,0.471,56.848,5796.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,0.6053262061695399,111.106
15,16,MAX_W4-C1-63xz-day1.tif,1.363,144.552,14738.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,4.033371466837802,111.106
16,17,MAX_W4-C1-63xz-day1.tif,0.804,55.945,5704.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,0.729314682762127,111.106
17,18,MAX_W4-C1-63xz-day1.tif,1.559,161.098,16425.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,4.041595584545911,111.106
18,19,MAX_W4-C1-63xz-day1.tif,0.539,50.992,5199.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,1.8796122230823102,111.106
19,20,MAX_W4-C1-63xz-day1.tif,0.824,55.18,5626.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,0.6830898737311215,111.106
20,21,MAX_W4-C1-63xz-day1.tif,0.961,92.843,9466.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,2.3807728799651255,111.106
21,22,MAX_W4-C1-63xz-day1.tif,0.824,73.786,7523.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,0.6074271648843776,111.106
22,23,MAX_W4-C1-63xz-day1.tif,1.805,314.026,32017.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,3.2570581035949138,111.106
23,24,MAX_W4-C1-63xz-day1.tif,1.187,117.785,12009.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,2.2333990670863515,111.106
24,25,MAX_W4-C1-63xz-day1.tif,0.569,17.527,1787.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,0.2834708070515931,111.106
25,26,MAX_W4-C1-63xz-day1.tif,0.49,60.438,6162.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,0.1263724430374718,111.106
26,27,MAX_W4-C1-63xz-day1.tif,0.657,20.067,2046.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,0.10825201081063586,111.106
27,28,MAX_W4-C1-63xz-day1.tif,0.608,19.999,2039.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,0.25077115987460813,111.106
28,29,MAX_W4-C1-63xz-day1.tif,0.432,19.606,1999.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,0.10112127745169844,111.106
29,30,MAX_W4-C1-63xz-day1.tif,0.559,82.702,8432.0,07032022,W4C1,segment1,day1,rMS,W4C1-segment1,1.0,3.0320428215280835,111.106
0,1,MAX_W4-C1-63xz-day2.tif,0.539,86.027,8771.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,1.4444966837377216,86.027
1,2,MAX_W4-C1-63xz-day2.tif,0.353,65.959,6725.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,2.7337118700265255,86.027
2,3,MAX_W4-C1-63xz-day2.tif,0.294,19.224,1960.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,0.43267088294209,86.027
3,4,MAX_W4-C1-63xz-day2.tif,0.981,95.492,9736.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,0.7088498597027778,86.027
4,5,MAX_W4-C1-63xz-day2.tif,0.834,120.708,12307.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,1.0915305734903151,86.027
5,6,MAX_W4-C1-63xz-day2.tif,1.275,178.076,18156.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,2.060373254347499,86.027
6,7,MAX_W4-C1-63xz-day2.tif,0.785,58.093,5923.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,0.27906920885635095,86.027
7,8,MAX_W4-C1-63xz-day2.tif,1.334,150.182,15312.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,0.4339291183422036,86.027
8,9,MAX_W4-C1-63xz-day2.tif,0.736,48.854,4981.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,0.9641792812173124,86.027
9,10,MAX_W4-C1-63xz-day2.tif,0.765,62.095,6331.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,1.9655292479108635,86.027
10,11,MAX_W4-C1-63xz-day2.tif,0.696,59.565,6073.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,2.1072275091095625,86.027
11,12,MAX_W4-C1-63xz-day2.tif,0.902,70.206,7158.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,1.3988602853271699,86.027
12,13,MAX_W4-C1-63xz-day2.tif,1.138,91.706,9350.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,1.7099438757435066,86.027
13,14,MAX_W4-C1-63xz-day2.tif,0.785,76.023,7751.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,0.9879018634508928,86.027
14,15,MAX_W4-C1-63xz-day2.tif,1.255,95.904,9778.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,1.0212004727779966,86.027
15,16,MAX_W4-C1-63xz-day2.tif,1.148,105.81,10788.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,2.9523703228326683,86.027
16,17,MAX_W4-C1-63xz-day2.tif,0.755,38.203,3895.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,0.49802500358497703,86.027
17,18,MAX_W4-C1-63xz-day2.tif,1.01,113.666,11589.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,2.8516307074761666,86.027
