,Peak_Amplitude_[pA],group,cell_ID,extras_path
0,-27.3509807586669,control,C1_Cell1,control\C1_Cell1.xlsx
1,-20.4394168853759,control,C1_Cell1,control\C1_Cell1.xlsx
2,-23.0475540161132,control,C1_Cell1,control\C1_Cell1.xlsx
3,-14.4061412811279,control,C1_Cell1,control\C1_Cell1.xlsx
4,-14.9634885787963,control,C1_Cell1,control\C1_Cell1.xlsx
5,-20.7217769622802,control,C1_Cell1,control\C1_Cell1.xlsx
6,-36.4589576721191,control,C1_Cell1,control\C1_Cell1.xlsx
7,-58.3097496032714,control,C1_Cell1,control\C1_Cell1.xlsx
8,-49.8694343566894,control,C1_Cell1,control\C1_Cell1.xlsx
9,-18.6127758026123,control,C1_Cell1,control\C1_Cell1.xlsx
10,-31.9262332916259,control,C1_Cell1,control\C1_Cell1.xlsx
11,-30.9779434204101,control,C1_Cell1,control\C1_Cell1.xlsx
12,-46.6160583496093,control,C1_Cell1,control\C1_Cell1.xlsx
13,-13.9155721664428,control,C1_Cell1,control\C1_Cell1.xlsx
14,-32.1513061523437,control,C1_Cell1,control\C1_Cell1.xlsx
15,-21.4945888519287,control,C1_Cell1,control\C1_Cell1.xlsx
17,-40.0654067993164,control,C1_Cell1,control\C1_Cell1.xlsx
18,-20.525728225708,control,C1_Cell1,control\C1_Cell1.xlsx
19,-14.2532215118408,control,C1_Cell1,control\C1_Cell1.xlsx
20,-24.7638320922851,control,C1_Cell1,control\C1_Cell1.xlsx
21,-32.5125007629394,control,C1_Cell1,control\C1_Cell1.xlsx
22,-22.7774028778076,control,C1_Cell1,control\C1_Cell1.xlsx
23,-18.2272853851318,control,C1_Cell1,control\C1_Cell1.xlsx
24,-56.8370666503906,control,C1_Cell1,control\C1_Cell1.xlsx
25,-18.3092517852783,control,C1_Cell1,control\C1_Cell1.xlsx
26,-20.1883850097656,control,C1_Cell1,control\C1_Cell1.xlsx
27,-15.2440185546875,control,C1_Cell1,control\C1_Cell1.xlsx
28,-17.6684741973876,control,C1_Cell1,control\C1_Cell1.xlsx
29,-28.8550949096679,control,C1_Cell1,control\C1_Cell1.xlsx
30,-42.0229873657226,control,C1_Cell1,control\C1_Cell1.xlsx
31,-17.8955974578857,control,C1_Cell1,control\C1_Cell1.xlsx
32,-25.9913177490234,control,C1_Cell1,control\C1_Cell1.xlsx
33,-19.3791484832763,control,C1_Cell1,control\C1_Cell1.xlsx
34,-24.2318000793457,control,C1_Cell1,control\C1_Cell1.xlsx
35,-21.7073459625244,control,C1_Cell1,control\C1_Cell1.xlsx
36,-21.1381359100341,control,C1_Cell1,control\C1_Cell1.xlsx
37,-33.9212608337402,control,C1_Cell1,control\C1_Cell1.xlsx
38,-58.1348648071289,control,C1_Cell1,control\C1_Cell1.xlsx
39,-15.7640237808227,control,C1_Cell1,control\C1_Cell1.xlsx
40,-12.9020633697509,control,C1_Cell1,control\C1_Cell1.xlsx
41,-61.0885772705078,control,C1_Cell1,control\C1_Cell1.xlsx
42,-57.260643005371,control,C1_Cell1,control\C1_Cell1.xlsx
43,-22.2976303100585,control,C1_Cell1,control\C1_Cell1.xlsx
44,-22.4469375610351,control,C1_Cell1,control\C1_Cell1.xlsx
45,-25.4105987548828,control,C1_Cell1,control\C1_Cell1.xlsx
46,-17.84614944458,control,C1_Cell1,control\C1_Cell1.xlsx
47,-93.9471435546875,control,C1_Cell1,control\C1_Cell1.xlsx
48,-25.6428432464599,control,C1_Cell1,control\C1_Cell1.xlsx
49,-17.2572860717773,control,C1_Cell1,control\C1_Cell1.xlsx
50,-34.7881088256835,control,C1_Cell1,control\C1_Cell1.xlsx
51,-18.4931373596191,control,C1_Cell1,control\C1_Cell1.xlsx
52,-32.3025970458984,control,C1_Cell1,control\C1_Cell1.xlsx
53,-44.6057319641113,control,C1_Cell1,control\C1_Cell1.xlsx
54,-20.2312545776367,control,C1_Cell1,control\C1_Cell1.xlsx
55,-21.8110523223876,control,C1_Cell1,control\C1_Cell1.xlsx
56,-26.0433139801025,control,C1_Cell1,control\C1_Cell1.xlsx
57,-40.3293800354003,control,C1_Cell1,control\C1_Cell1.xlsx
58,-39.8136825561523,control,C1_Cell1,control\C1_Cell1.xlsx
59,-25.5939979553222,control,C1_Cell1,control\C1_Cell1.xlsx
60,-20.4134826660156,control,C1_Cell1,control\C1_Cell1.xlsx
61,-25.8614387512207,control,C1_Cell1,control\C1_Cell1.xlsx
62,-29.1339397430419,control,C1_Cell1,control\C1_Cell1.xlsx
63,-34.2711105346679,control,C1_Cell1,control\C1_Cell1.xlsx
64,-17.0835285186767,control,C1_Cell1,control\C1_Cell1.xlsx
65,-15.4524803161621,control,C1_Cell1,control\C1_Cell1.xlsx
67,-19.6798706054687,control,C1_Cell1,control\C1_Cell1.xlsx
68,-15.7459373474121,control,C1_Cell1,control\C1_Cell1.xlsx
69,-29.2498207092285,control,C1_Cell1,control\C1_Cell1.xlsx
70,-25.0852375030517,control,C1_Cell1,control\C1_Cell1.xlsx
71,-19.2951068878173,control,C1_Cell1,control\C1_Cell1.xlsx
72,-15.2525672912597,control,C1_Cell1,control\C1_Cell1.xlsx
73,-18.6485290527343,control,C1_Cell1,control\C1_Cell1.xlsx
74,-30.2003078460693,control,C1_Cell1,control\C1_Cell1.xlsx
75,-17.3674011230468,control,C1_Cell1,control\C1_Cell1.xlsx
76,-23.996561050415,control,C1_Cell1,control\C1_Cell1.xlsx
77,-59.3453330993652,control,C1_Cell1,control\C1_Cell1.xlsx
78,-29.4862613677978,control,C1_Cell1,control\C1_Cell1.xlsx
79,-21.9362506866455,control,C1_Cell1,control\C1_Cell1.xlsx
80,-17.6035995483398,control,C1_Cell1,control\C1_Cell1.xlsx
81,-26.942434310913,control,C1_Cell1,control\C1_Cell1.xlsx
82,-23.8446197509765,control,C1_Cell1,control\C1_Cell1.xlsx
83,-34.7977981567382,control,C1_Cell1,control\C1_Cell1.xlsx
84,-18.3607769012451,control,C1_Cell1,control\C1_Cell1.xlsx
85,-61.2138023376464,control,C1_Cell1,control\C1_Cell1.xlsx
86,-14.8387842178344,control,C1_Cell1,control\C1_Cell1.xlsx
87,-30.0629901885986,control,C1_Cell1,control\C1_Cell1.xlsx
88,-18.2234306335449,control,C1_Cell1,control\C1_Cell1.xlsx
89,-43.1888809204101,control,C1_Cell1,control\C1_Cell1.xlsx
90,-67.743667602539,control,C1_Cell1,control\C1_Cell1.xlsx
91,-17.9636325836181,control,C1_Cell1,control\C1_Cell1.xlsx
92,-48.1806640625,control,C1_Cell1,control\C1_Cell1.xlsx
93,-35.0578231811523,control,C1_Cell1,control\C1_Cell1.xlsx
94,-35.3201293945312,control,C1_Cell1,control\C1_Cell1.xlsx
95,-21.129316329956,control,C1_Cell1,control\C1_Cell1.xlsx
96,-40.3568572998046,control,C1_Cell1,control\C1_Cell1.xlsx
97,-28.6346645355224,control,C1_Cell1,control\C1_Cell1.xlsx
98,-16.4535331726074,control,C1_Cell1,control\C1_Cell1.xlsx
99,-41.1701698303222,control,C1_Cell1,control\C1_Cell1.xlsx
100,-15.105110168457,control,C1_Cell1,control\C1_Cell1.xlsx
101,-83.7053146362304,control,C1_Cell1,control\C1_Cell1.xlsx
102,-42.437686920166,control,C1_Cell1,control\C1_Cell1.xlsx
103,-52.4428520202636,control,C1_Cell1,control\C1_Cell1.xlsx
104,-41.9240226745605,control,C1_Cell1,control\C1_Cell1.xlsx
105,-49.4994926452636,control,C1_Cell1,control\C1_Cell1.xlsx
106,-16.3011856079101,control,C1_Cell1,control\C1_Cell1.xlsx
107,-18.8218460083007,control,C1_Cell1,control\C1_Cell1.xlsx
108,-54.8164100646972,control,C1_Cell1,control\C1_Cell1.xlsx
109,-37.2459716796875,control,C1_Cell1,control\C1_Cell1.xlsx
110,-31.1908473968505,control,C1_Cell1,control\C1_Cell1.xlsx
111,-18.5575866699218,control,C1_Cell1,control\C1_Cell1.xlsx
112,-47.5932693481445,control,C1_Cell1,control\C1_Cell1.xlsx
113,-46.9972877502441,control,C1_Cell1,control\C1_Cell1.xlsx
114,-59.5053062438964,control,C1_Cell1,control\C1_Cell1.xlsx
115,-61.9262466430664,control,C1_Cell1,control\C1_Cell1.xlsx
116,-48.4837799072265,control,C1_Cell1,control\C1_Cell1.xlsx
117,-21.1481800079345,control,C1_Cell1,control\C1_Cell1.xlsx
118,-90.8703536987304,control,C1_Cell1,control\C1_Cell1.xlsx
119,-50.8704414367675,control,C1_Cell1,control\C1_Cell1.xlsx
120,-33.6911163330078,control,C1_Cell1,control\C1_Cell1.xlsx
121,-16.4086036682128,control,C1_Cell1,control\C1_Cell1.xlsx
122,-20.101333618164,control,C1_Cell1,control\C1_Cell1.xlsx
123,-21.6258907318115,control,C1_Cell1,control\C1_Cell1.xlsx
124,-16.503583908081,control,C1_Cell1,control\C1_Cell1.xlsx
125,-52.5668296813964,control,C1_Cell1,control\C1_Cell1.xlsx
126,-67.3426513671875,control,C1_Cell1,control\C1_Cell1.xlsx
128,-44.3240737915039,control,C1_Cell1,control\C1_Cell1.xlsx
129,-15.9385070800781,control,C1_Cell1,control\C1_Cell1.xlsx
5000,-19.2935791015625,control,C1_Cell2,control\C1_Cell2.xlsx
5001,-15.6239938735961,control,C1_Cell2,control\C1_Cell2.xlsx
5002,-40.7951583862304,control,C1_Cell2,control\C1_Cell2.xlsx
5003,-43.2846908569335,control,C1_Cell2,control\C1_Cell2.xlsx
5004,-45.0959129333496,control,C1_Cell2,control\C1_Cell2.xlsx
5005,-17.1235561370849,control,C1_Cell2,control\C1_Cell2.xlsx
5006,-21.1659507751464,control,C1_Cell2,control\C1_Cell2.xlsx
5007,-17.0514831542968,control,C1_Cell2,control\C1_Cell2.xlsx
5008,-17.082836151123,control,C1_Cell2,control\C1_Cell2.xlsx
5009,-18.4789791107177,control,C1_Cell2,control\C1_Cell2.xlsx
5010,-22.6749019622802,control,C1_Cell2,control\C1_Cell2.xlsx
5011,-23.4231834411621,control,C1_Cell2,control\C1_Cell2.xlsx
5012,-45.6279678344726,control,C1_Cell2,control\C1_Cell2.xlsx
5013,-23.4256858825683,control,C1_Cell2,control\C1_Cell2.xlsx
5014,-71.0415420532226,control,C1_Cell2,control\C1_Cell2.xlsx
5015,-27.3896694183349,control,C1_Cell2,control\C1_Cell2.xlsx
5016,-19.7913608551025,control,C1_Cell2,control\C1_Cell2.xlsx
5017,-25.1490058898925,control,C1_Cell2,control\C1_Cell2.xlsx
5018,-23.4922199249267,control,C1_Cell2,control\C1_Cell2.xlsx
5019,-17.8782043457031,control,C1_Cell2,control\C1_Cell2.xlsx
5020,-25.9378299713134,control,C1_Cell2,control\C1_Cell2.xlsx
5021,-28.904878616333,control,C1_Cell2,control\C1_Cell2.xlsx
5022,-19.1596279144287,control,C1_Cell2,control\C1_Cell2.xlsx
5023,-17.1335773468017,control,C1_Cell2,control\C1_Cell2.xlsx
5024,-30.9787559509277,control,C1_Cell2,control\C1_Cell2.xlsx
5025,-44.1555595397949,control,C1_Cell2,control\C1_Cell2.xlsx
5026,-14.99250125885,control,C1_Cell2,control\C1_Cell2.xlsx
5027,-17.5797595977783,control,C1_Cell2,control\C1_Cell2.xlsx
5028,-17.5062751770019,control,C1_Cell2,control\C1_Cell2.xlsx
5029,-34.7908096313476,control,C1_Cell2,control\C1_Cell2.xlsx
5030,-16.8376293182373,control,C1_Cell2,control\C1_Cell2.xlsx
5031,-17.9438667297363,control,C1_Cell2,control\C1_Cell2.xlsx
5032,-27.4020347595214,control,C1_Cell2,control\C1_Cell2.xlsx
5033,-16.4097175598144,control,C1_Cell2,control\C1_Cell2.xlsx
10000,-25.8682880401611,control,C1_Cell3,control\C1_Cell3.xlsx
10001,-15.3699398040771,control,C1_Cell3,control\C1_Cell3.xlsx
10003,-28.7969131469726,control,C1_Cell3,control\C1_Cell3.xlsx
10004,-27.9804077148437,control,C1_Cell3,control\C1_Cell3.xlsx
10005,-18.2586307525634,control,C1_Cell3,control\C1_Cell3.xlsx
10006,-23.4124679565429,control,C1_Cell3,control\C1_Cell3.xlsx
10007,-17.6770153045654,control,C1_Cell3,control\C1_Cell3.xlsx
10008,-15.666633605957,control,C1_Cell3,control\C1_Cell3.xlsx
10009,-19.125244140625,control,C1_Cell3,control\C1_Cell3.xlsx
10011,-31.9417495727539,control,C1_Cell3,control\C1_Cell3.xlsx
10012,-23.7935199737548,control,C1_Cell3,control\C1_Cell3.xlsx
10013,-20.8163776397705,control,C1_Cell3,control\C1_Cell3.xlsx
10014,-19.5318641662597,control,C1_Cell3,control\C1_Cell3.xlsx
10015,-18.5531902313232,control,C1_Cell3,control\C1_Cell3.xlsx
10016,-19.1610450744628,control,C1_Cell3,control\C1_Cell3.xlsx
10017,-29.257375717163,control,C1_Cell3,control\C1_Cell3.xlsx
10018,-16.8235721588134,control,C1_Cell3,control\C1_Cell3.xlsx
10019,-14.0970802307128,control,C1_Cell3,control\C1_Cell3.xlsx
10020,-15.9032564163208,control,C1_Cell3,control\C1_Cell3.xlsx
10021,-23.9152507781982,control,C1_Cell3,control\C1_Cell3.xlsx
10022,-18.1601219177246,control,C1_Cell3,control\C1_Cell3.xlsx
10023,-22.7885780334472,control,C1_Cell3,control\C1_Cell3.xlsx
10024,-15.5940198898315,control,C1_Cell3,control\C1_Cell3.xlsx
10025,-17.6552276611328,control,C1_Cell3,control\C1_Cell3.xlsx
10026,-20.3800563812255,control,C1_Cell3,control\C1_Cell3.xlsx
10027,-27.7373962402343,control,C1_Cell3,control\C1_Cell3.xlsx
10028,-15.6484365463256,control,C1_Cell3,control\C1_Cell3.xlsx
10029,-14.5130853652954,control,C1_Cell3,control\C1_Cell3.xlsx
10030,-23.20703125,control,C1_Cell3,control\C1_Cell3.xlsx
10031,-17.5088081359863,control,C1_Cell3,control\C1_Cell3.xlsx
10032,-30.4619750976562,control,C1_Cell3,control\C1_Cell3.xlsx
10033,-55.815803527832,control,C1_Cell3,control\C1_Cell3.xlsx
10034,-15.9338684082031,control,C1_Cell3,control\C1_Cell3.xlsx
10035,-17.0918369293212,control,C1_Cell3,control\C1_Cell3.xlsx
10037,-13.9918537139892,control,C1_Cell3,control\C1_Cell3.xlsx
10038,-21.4706439971923,control,C1_Cell3,control\C1_Cell3.xlsx
10039,-21.6087665557861,control,C1_Cell3,control\C1_Cell3.xlsx
10040,-19.9326629638671,control,C1_Cell3,control\C1_Cell3.xlsx
10041,-17.75390625,control,C1_Cell3,control\C1_Cell3.xlsx
10042,-36.2744598388671,control,C1_Cell3,control\C1_Cell3.xlsx
10043,-27.5122680664062,control,C1_Cell3,control\C1_Cell3.xlsx
10044,-15.8289566040039,control,C1_Cell3,control\C1_Cell3.xlsx
10047,-21.1381950378417,control,C1_Cell3,control\C1_Cell3.xlsx
10048,-17.8272113800048,control,C1_Cell3,control\C1_Cell3.xlsx
10049,-16.3531970977783,control,C1_Cell3,control\C1_Cell3.xlsx
10050,-21.2381534576416,control,C1_Cell3,control\C1_Cell3.xlsx
10051,-17.0976390838623,control,C1_Cell3,control\C1_Cell3.xlsx
10052,-15.4745950698852,control,C1_Cell3,control\C1_Cell3.xlsx
10053,-40.1815376281738,control,C1_Cell3,control\C1_Cell3.xlsx
10054,-46.0395393371582,control,C1_Cell3,control\C1_Cell3.xlsx
10055,-17.9331703186035,control,C1_Cell3,control\C1_Cell3.xlsx
10056,-15.0617780685424,control,C1_Cell3,control\C1_Cell3.xlsx
10057,-21.5777587890625,control,C1_Cell3,control\C1_Cell3.xlsx
10058,-47.8496780395507,control,C1_Cell3,control\C1_Cell3.xlsx
10059,-19.8605556488037,control,C1_Cell3,control\C1_Cell3.xlsx
10060,-16.8952579498291,control,C1_Cell3,control\C1_Cell3.xlsx
10061,-16.3257751464843,control,C1_Cell3,control\C1_Cell3.xlsx
10062,-16.929738998413,control,C1_Cell3,control\C1_Cell3.xlsx
10063,-14.7847442626953,control,C1_Cell3,control\C1_Cell3.xlsx
10064,-15.3865547180175,control,C1_Cell3,control\C1_Cell3.xlsx
10065,-21.5841808319091,control,C1_Cell3,control\C1_Cell3.xlsx
10066,-15.4953832626342,control,C1_Cell3,control\C1_Cell3.xlsx
10067,-18.7335453033447,control,C1_Cell3,control\C1_Cell3.xlsx
10068,-16.6454257965087,control,C1_Cell3,control\C1_Cell3.xlsx
10069,-16.8711929321289,control,C1_Cell3,control\C1_Cell3.xlsx
10070,-26.8711605072021,control,C1_Cell3,control\C1_Cell3.xlsx
10071,-34.6262893676757,control,C1_Cell3,control\C1_Cell3.xlsx
10072,-17.9088745117187,control,C1_Cell3,control\C1_Cell3.xlsx
10073,-20.9294834136962,control,C1_Cell3,control\C1_Cell3.xlsx
10074,-15.4133243560791,control,C1_Cell3,control\C1_Cell3.xlsx
10075,-58.9334564208984,control,C1_Cell3,control\C1_Cell3.xlsx
10076,-51.3516159057617,control,C1_Cell3,control\C1_Cell3.xlsx
10077,-21.4073448181152,control,C1_Cell3,control\C1_Cell3.xlsx
10078,-31.5554809570312,control,C1_Cell3,control\C1_Cell3.xlsx
10079,-24.276023864746,control,C1_Cell3,control\C1_Cell3.xlsx
10080,-19.4225597381591,control,C1_Cell3,control\C1_Cell3.xlsx
10081,-18.0542297363281,control,C1_Cell3,control\C1_Cell3.xlsx
10082,-21.7874031066894,control,C1_Cell3,control\C1_Cell3.xlsx
10083,-16.688585281372,control,C1_Cell3,control\C1_Cell3.xlsx
10084,-17.2541236877441,control,C1_Cell3,control\C1_Cell3.xlsx
10085,-21.0623512268066,control,C1_Cell3,control\C1_Cell3.xlsx
10087,-18.7767696380615,control,C1_Cell3,control\C1_Cell3.xlsx
10088,-16.35498046875,control,C1_Cell3,control\C1_Cell3.xlsx
10089,-15.923939704895,control,C1_Cell3,control\C1_Cell3.xlsx
10090,-19.059341430664,control,C1_Cell3,control\C1_Cell3.xlsx
10091,-16.6248111724853,control,C1_Cell3,control\C1_Cell3.xlsx
10092,-21.4288730621337,control,C1_Cell3,control\C1_Cell3.xlsx
10093,-15.6128702163696,control,C1_Cell3,control\C1_Cell3.xlsx
10094,-18.8009643554687,control,C1_Cell3,control\C1_Cell3.xlsx
10095,-39.0498428344726,control,C1_Cell3,control\C1_Cell3.xlsx
10096,-19.336139678955,control,C1_Cell3,control\C1_Cell3.xlsx
10097,-11.3037376403808,control,C1_Cell3,control\C1_Cell3.xlsx
10098,-21.4196300506591,control,C1_Cell3,control\C1_Cell3.xlsx
10099,-15.5951356887817,control,C1_Cell3,control\C1_Cell3.xlsx
10100,-14.8930568695068,control,C1_Cell3,control\C1_Cell3.xlsx
10101,-20.5176486968994,control,C1_Cell3,control\C1_Cell3.xlsx
10102,-17.6312389373779,control,C1_Cell3,control\C1_Cell3.xlsx
10103,-24.3836078643798,control,C1_Cell3,control\C1_Cell3.xlsx
10104,-26.665428161621,control,C1_Cell3,control\C1_Cell3.xlsx
10105,-17.4801712036132,control,C1_Cell3,control\C1_Cell3.xlsx
10106,-19.6215152740478,control,C1_Cell3,control\C1_Cell3.xlsx
10107,-17.4524822235107,control,C1_Cell3,control\C1_Cell3.xlsx
10108,-23.7649383544921,control,C1_Cell3,control\C1_Cell3.xlsx
10109,-22.176025390625,control,C1_Cell3,control\C1_Cell3.xlsx
10110,-25.7537364959716,control,C1_Cell3,control\C1_Cell3.xlsx
10111,-22.3143482208251,control,C1_Cell3,control\C1_Cell3.xlsx
10112,-50.4177627563476,control,C1_Cell3,control\C1_Cell3.xlsx
10113,-14.115966796875,control,C1_Cell3,control\C1_Cell3.xlsx
10114,-23.1727504730224,control,C1_Cell3,control\C1_Cell3.xlsx
10115,-15.2262201309204,control,C1_Cell3,control\C1_Cell3.xlsx
10116,-15.432466506958,control,C1_Cell3,control\C1_Cell3.xlsx
10117,-23.885721206665,control,C1_Cell3,control\C1_Cell3.xlsx
10118,-18.7580432891845,control,C1_Cell3,control\C1_Cell3.xlsx
10119,-17.2941722869873,control,C1_Cell3,control\C1_Cell3.xlsx
10120,-16.2942028045654,control,C1_Cell3,control\C1_Cell3.xlsx
10121,-28.1031112670898,control,C1_Cell3,control\C1_Cell3.xlsx
10122,-16.4670848846435,control,C1_Cell3,control\C1_Cell3.xlsx
10123,-15.2936210632324,control,C1_Cell3,control\C1_Cell3.xlsx
10124,-18.4188442230224,control,C1_Cell3,control\C1_Cell3.xlsx
10125,-15.4651432037353,control,C1_Cell3,control\C1_Cell3.xlsx
10126,-15.9180889129638,control,C1_Cell3,control\C1_Cell3.xlsx
10127,-25.6592350006103,control,C1_Cell3,control\C1_Cell3.xlsx
10128,-19.660415649414,control,C1_Cell3,control\C1_Cell3.xlsx
10129,-32.5542907714843,control,C1_Cell3,control\C1_Cell3.xlsx
10130,-20.2952194213867,control,C1_Cell3,control\C1_Cell3.xlsx
10131,-21.8796806335449,control,C1_Cell3,control\C1_Cell3.xlsx
10135,-14.192379951477,control,C1_Cell3,control\C1_Cell3.xlsx
10136,-21.4875869750976,control,C1_Cell3,control\C1_Cell3.xlsx
10137,-27.5583992004394,control,C1_Cell3,control\C1_Cell3.xlsx
10138,-21.195665359497,control,C1_Cell3,control\C1_Cell3.xlsx
10139,-19.5737571716308,control,C1_Cell3,control\C1_Cell3.xlsx
10140,-12.3279991149902,control,C1_Cell3,control\C1_Cell3.xlsx
10141,-19.9748821258544,control,C1_Cell3,control\C1_Cell3.xlsx
10142,-18.3965091705322,control,C1_Cell3,control\C1_Cell3.xlsx
10143,-14.1795015335083,control,C1_Cell3,control\C1_Cell3.xlsx
10144,-40.9562950134277,control,C1_Cell3,control\C1_Cell3.xlsx
10145,-16.4702835083007,control,C1_Cell3,control\C1_Cell3.xlsx
10146,-16.2657146453857,control,C1_Cell3,control\C1_Cell3.xlsx
10147,-32.4994277954101,control,C1_Cell3,control\C1_Cell3.xlsx
10148,-18.4221973419189,control,C1_Cell3,control\C1_Cell3.xlsx
10149,-34.4377937316894,control,C1_Cell3,control\C1_Cell3.xlsx
10150,-20.1259059906005,control,C1_Cell3,control\C1_Cell3.xlsx
10151,-21.2574138641357,control,C1_Cell3,control\C1_Cell3.xlsx
10152,-12.193730354309,control,C1_Cell3,control\C1_Cell3.xlsx
10156,-16.3136329650878,control,C1_Cell3,control\C1_Cell3.xlsx
10157,-15.8118896484375,control,C1_Cell3,control\C1_Cell3.xlsx
10158,-27.7279033660888,control,C1_Cell3,control\C1_Cell3.xlsx
10159,-27.9608936309814,control,C1_Cell3,control\C1_Cell3.xlsx
10160,-23.1096420288085,control,C1_Cell3,control\C1_Cell3.xlsx
10161,-18.4075870513916,control,C1_Cell3,control\C1_Cell3.xlsx
10162,-15.9522323608398,control,C1_Cell3,control\C1_Cell3.xlsx
10163,-22.9231166839599,control,C1_Cell3,control\C1_Cell3.xlsx
10164,-28.4095211029052,control,C1_Cell3,control\C1_Cell3.xlsx
10165,-15.6796464920043,control,C1_Cell3,control\C1_Cell3.xlsx
10166,-38.4025764465332,control,C1_Cell3,control\C1_Cell3.xlsx
10167,-14.3805809020996,control,C1_Cell3,control\C1_Cell3.xlsx
10168,-19.3751773834228,control,C1_Cell3,control\C1_Cell3.xlsx
10169,-22.9812622070312,control,C1_Cell3,control\C1_Cell3.xlsx
10170,-14.3024921417236,control,C1_Cell3,control\C1_Cell3.xlsx
10171,-61.1559524536132,control,C1_Cell3,control\C1_Cell3.xlsx
10172,-19.2310676574707,control,C1_Cell3,control\C1_Cell3.xlsx
10173,-16.6093425750732,control,C1_Cell3,control\C1_Cell3.xlsx
15000,-14.9964513778686,control,C1_Cell4,control\C1_Cell4.xlsx
15001,-13.0711975097656,control,C1_Cell4,control\C1_Cell4.xlsx
15002,-14.7341718673706,control,C1_Cell4,control\C1_Cell4.xlsx
15005,-16.1760196685791,control,C1_Cell4,control\C1_Cell4.xlsx
15006,-14.7885780334472,control,C1_Cell4,control\C1_Cell4.xlsx
15007,-14.5403966903686,control,C1_Cell4,control\C1_Cell4.xlsx
15008,-34.1364212036132,control,C1_Cell4,control\C1_Cell4.xlsx
15009,-13.0430841445922,control,C1_Cell4,control\C1_Cell4.xlsx
15013,-15.5175848007202,control,C1_Cell4,control\C1_Cell4.xlsx
15014,-17.1771202087402,control,C1_Cell4,control\C1_Cell4.xlsx
15015,-18.8759078979492,control,C1_Cell4,control\C1_Cell4.xlsx
15016,-13.9029912948608,control,C1_Cell4,control\C1_Cell4.xlsx
15017,-16.3099708557128,control,C1_Cell4,control\C1_Cell4.xlsx
15018,-14.5588445663452,control,C1_Cell4,control\C1_Cell4.xlsx
15019,-15.5578136444091,control,C1_Cell4,control\C1_Cell4.xlsx
15020,-20.7314891815185,control,C1_Cell4,control\C1_Cell4.xlsx
15021,-17.2198505401611,control,C1_Cell4,control\C1_Cell4.xlsx
15023,-42.6344604492187,control,C1_Cell4,control\C1_Cell4.xlsx
15024,-17.4573307037353,control,C1_Cell4,control\C1_Cell4.xlsx
15026,-13.9643592834472,control,C1_Cell4,control\C1_Cell4.xlsx
15027,-14.3222827911376,control,C1_Cell4,control\C1_Cell4.xlsx
15028,-12.4370689392089,control,C1_Cell4,control\C1_Cell4.xlsx
15029,-12.5234508514404,control,C1_Cell4,control\C1_Cell4.xlsx
15030,-15.4639167785644,control,C1_Cell4,control\C1_Cell4.xlsx
15031,-14.2110929489135,control,C1_Cell4,control\C1_Cell4.xlsx
15032,-13.5410327911376,control,C1_Cell4,control\C1_Cell4.xlsx
15033,-29.5991516113281,control,C1_Cell4,control\C1_Cell4.xlsx
15034,-22.452335357666,control,C1_Cell4,control\C1_Cell4.xlsx
15035,-16.1319236755371,control,C1_Cell4,control\C1_Cell4.xlsx
15036,-29.1005268096923,control,C1_Cell4,control\C1_Cell4.xlsx
15037,-14.2105283737182,control,C1_Cell4,control\C1_Cell4.xlsx
15038,-72.3873901367187,control,C1_Cell4,control\C1_Cell4.xlsx
15039,-14.6714458465576,control,C1_Cell4,control\C1_Cell4.xlsx
15040,-39.203140258789,control,C1_Cell4,control\C1_Cell4.xlsx
15041,-39.1041374206542,control,C1_Cell4,control\C1_Cell4.xlsx
15042,-17.5229625701904,control,C1_Cell4,control\C1_Cell4.xlsx
15043,-14.7991456985473,control,C1_Cell4,control\C1_Cell4.xlsx
15044,-17.3191814422607,control,C1_Cell4,control\C1_Cell4.xlsx
15046,-24.3129043579101,control,C1_Cell4,control\C1_Cell4.xlsx
15047,-13.1709604263305,control,C1_Cell4,control\C1_Cell4.xlsx
15048,-18.4442176818847,control,C1_Cell4,control\C1_Cell4.xlsx
15049,-33.6094779968261,control,C1_Cell4,control\C1_Cell4.xlsx
15050,-16.0029048919677,control,C1_Cell4,control\C1_Cell4.xlsx
15051,-19.6852226257324,control,C1_Cell4,control\C1_Cell4.xlsx
15052,-17.8540840148925,control,C1_Cell4,control\C1_Cell4.xlsx
15053,-16.9560260772705,control,C1_Cell4,control\C1_Cell4.xlsx
15054,-13.9714279174804,control,C1_Cell4,control\C1_Cell4.xlsx
15055,-19.7509670257568,control,C1_Cell4,control\C1_Cell4.xlsx
15056,-19.1370220184326,control,C1_Cell4,control\C1_Cell4.xlsx
15057,-16.2595958709716,control,C1_Cell4,control\C1_Cell4.xlsx
15059,-21.8614387512207,control,C1_Cell4,control\C1_Cell4.xlsx
15060,-15.0452613830566,control,C1_Cell4,control\C1_Cell4.xlsx
15061,-13.1036367416381,control,C1_Cell4,control\C1_Cell4.xlsx
15063,-18.096960067749,control,C1_Cell4,control\C1_Cell4.xlsx
15064,-14.3859138488769,control,C1_Cell4,control\C1_Cell4.xlsx
15065,-14.1995859146118,control,C1_Cell4,control\C1_Cell4.xlsx
15066,-16.8974075317382,control,C1_Cell4,control\C1_Cell4.xlsx
15067,-13.1280755996704,control,C1_Cell4,control\C1_Cell4.xlsx
15068,-13.3490076065063,control,C1_Cell4,control\C1_Cell4.xlsx
