,Area_[pA*ms],group,cell_ID,extras_path
0,-103.601516723632,control,C1_Cell1,control\C1_Cell1.xlsx
1,-57.8285751342773,control,C1_Cell1,control\C1_Cell1.xlsx
2,-87.9023361206054,control,C1_Cell1,control\C1_Cell1.xlsx
3,-30.7750396728515,control,C1_Cell1,control\C1_Cell1.xlsx
4,-45.1239166259765,control,C1_Cell1,control\C1_Cell1.xlsx
5,-46.7595138549804,control,C1_Cell1,control\C1_Cell1.xlsx
6,-94.1146850585937,control,C1_Cell1,control\C1_Cell1.xlsx
7,-215.251358032226,control,C1_Cell1,control\C1_Cell1.xlsx
8,-161.519500732421,control,C1_Cell1,control\C1_Cell1.xlsx
9,-67.7092056274414,control,C1_Cell1,control\C1_Cell1.xlsx
10,-109.433532714843,control,C1_Cell1,control\C1_Cell1.xlsx
11,-129.972549438476,control,C1_Cell1,control\C1_Cell1.xlsx
12,-177.43455505371,control,C1_Cell1,control\C1_Cell1.xlsx
13,-59.6894721984863,control,C1_Cell1,control\C1_Cell1.xlsx
14,-146.247909545898,control,C1_Cell1,control\C1_Cell1.xlsx
15,-43.7520141601562,control,C1_Cell1,control\C1_Cell1.xlsx
17,-142.411895751953,control,C1_Cell1,control\C1_Cell1.xlsx
18,-82.0494079589843,control,C1_Cell1,control\C1_Cell1.xlsx
19,-43.7153053283691,control,C1_Cell1,control\C1_Cell1.xlsx
20,-80.8471527099609,control,C1_Cell1,control\C1_Cell1.xlsx
21,-160.210311889648,control,C1_Cell1,control\C1_Cell1.xlsx
22,-91.7402038574218,control,C1_Cell1,control\C1_Cell1.xlsx
23,-49.0062026977539,control,C1_Cell1,control\C1_Cell1.xlsx
24,-218.046310424804,control,C1_Cell1,control\C1_Cell1.xlsx
25,-51.5443420410156,control,C1_Cell1,control\C1_Cell1.xlsx
26,-72.8472137451171,control,C1_Cell1,control\C1_Cell1.xlsx
27,-40.8308143615722,control,C1_Cell1,control\C1_Cell1.xlsx
28,-56.7080993652343,control,C1_Cell1,control\C1_Cell1.xlsx
29,-72.2308654785156,control,C1_Cell1,control\C1_Cell1.xlsx
30,-195.682220458984,control,C1_Cell1,control\C1_Cell1.xlsx
31,-78.7172698974609,control,C1_Cell1,control\C1_Cell1.xlsx
32,-89.8413467407226,control,C1_Cell1,control\C1_Cell1.xlsx
33,-61.6333808898925,control,C1_Cell1,control\C1_Cell1.xlsx
34,-72.5689849853515,control,C1_Cell1,control\C1_Cell1.xlsx
35,-82.9343566894531,control,C1_Cell1,control\C1_Cell1.xlsx
36,-119.414237976074,control,C1_Cell1,control\C1_Cell1.xlsx
37,-145.916870117187,control,C1_Cell1,control\C1_Cell1.xlsx
38,-319.555053710937,control,C1_Cell1,control\C1_Cell1.xlsx
39,-56.9739379882812,control,C1_Cell1,control\C1_Cell1.xlsx
40,-54.5861625671386,control,C1_Cell1,control\C1_Cell1.xlsx
41,-198.774169921875,control,C1_Cell1,control\C1_Cell1.xlsx
42,-231.405700683593,control,C1_Cell1,control\C1_Cell1.xlsx
43,-75.8572616577148,control,C1_Cell1,control\C1_Cell1.xlsx
44,-62.4112167358398,control,C1_Cell1,control\C1_Cell1.xlsx
45,-57.8172988891601,control,C1_Cell1,control\C1_Cell1.xlsx
46,-45.1330299377441,control,C1_Cell1,control\C1_Cell1.xlsx
47,-386.834747314453,control,C1_Cell1,control\C1_Cell1.xlsx
48,-98.8678283691406,control,C1_Cell1,control\C1_Cell1.xlsx
49,-54.3017616271972,control,C1_Cell1,control\C1_Cell1.xlsx
50,-172.168060302734,control,C1_Cell1,control\C1_Cell1.xlsx
51,-69.6087799072265,control,C1_Cell1,control\C1_Cell1.xlsx
52,-172.634033203125,control,C1_Cell1,control\C1_Cell1.xlsx
53,-145.150588989257,control,C1_Cell1,control\C1_Cell1.xlsx
54,-91.1933898925781,control,C1_Cell1,control\C1_Cell1.xlsx
55,-91.5976028442382,control,C1_Cell1,control\C1_Cell1.xlsx
56,-57.836986541748,control,C1_Cell1,control\C1_Cell1.xlsx
57,-140.229141235351,control,C1_Cell1,control\C1_Cell1.xlsx
58,-142.938491821289,control,C1_Cell1,control\C1_Cell1.xlsx
59,-88.1710968017578,control,C1_Cell1,control\C1_Cell1.xlsx
60,-94.1202545166015,control,C1_Cell1,control\C1_Cell1.xlsx
61,-96.5469665527343,control,C1_Cell1,control\C1_Cell1.xlsx
62,-91.5974502563476,control,C1_Cell1,control\C1_Cell1.xlsx
63,-100.884521484375,control,C1_Cell1,control\C1_Cell1.xlsx
64,-46.5888595581054,control,C1_Cell1,control\C1_Cell1.xlsx
65,-39.808536529541,control,C1_Cell1,control\C1_Cell1.xlsx
67,-53.6169090270996,control,C1_Cell1,control\C1_Cell1.xlsx
68,-51.8458709716796,control,C1_Cell1,control\C1_Cell1.xlsx
69,-145.410690307617,control,C1_Cell1,control\C1_Cell1.xlsx
70,-104.162895202636,control,C1_Cell1,control\C1_Cell1.xlsx
71,-50.8939208984375,control,C1_Cell1,control\C1_Cell1.xlsx
72,-53.5097732543945,control,C1_Cell1,control\C1_Cell1.xlsx
73,-42.8846778869628,control,C1_Cell1,control\C1_Cell1.xlsx
74,-103.529487609863,control,C1_Cell1,control\C1_Cell1.xlsx
75,-55.6916427612304,control,C1_Cell1,control\C1_Cell1.xlsx
76,-59.8651962280273,control,C1_Cell1,control\C1_Cell1.xlsx
77,-314.973846435546,control,C1_Cell1,control\C1_Cell1.xlsx
78,-90.9421463012695,control,C1_Cell1,control\C1_Cell1.xlsx
79,-69.0272903442382,control,C1_Cell1,control\C1_Cell1.xlsx
80,-54.6808242797851,control,C1_Cell1,control\C1_Cell1.xlsx
81,-85.2052154541015,control,C1_Cell1,control\C1_Cell1.xlsx
82,-123.010910034179,control,C1_Cell1,control\C1_Cell1.xlsx
83,-160.30859375,control,C1_Cell1,control\C1_Cell1.xlsx
84,-78.9525604248046,control,C1_Cell1,control\C1_Cell1.xlsx
85,-230.02293395996,control,C1_Cell1,control\C1_Cell1.xlsx
86,-47.4562911987304,control,C1_Cell1,control\C1_Cell1.xlsx
87,-210.973648071289,control,C1_Cell1,control\C1_Cell1.xlsx
88,-57.141731262207,control,C1_Cell1,control\C1_Cell1.xlsx
89,-196.887145996093,control,C1_Cell1,control\C1_Cell1.xlsx
90,-353.683166503906,control,C1_Cell1,control\C1_Cell1.xlsx
91,-80.4920959472656,control,C1_Cell1,control\C1_Cell1.xlsx
92,-228.294784545898,control,C1_Cell1,control\C1_Cell1.xlsx
93,-167.999801635742,control,C1_Cell1,control\C1_Cell1.xlsx
94,-157.143569946289,control,C1_Cell1,control\C1_Cell1.xlsx
95,-69.9020538330078,control,C1_Cell1,control\C1_Cell1.xlsx
96,-147.627166748046,control,C1_Cell1,control\C1_Cell1.xlsx
97,-90.418212890625,control,C1_Cell1,control\C1_Cell1.xlsx
98,-47.5664100646972,control,C1_Cell1,control\C1_Cell1.xlsx
99,-156.217178344726,control,C1_Cell1,control\C1_Cell1.xlsx
100,-48.0308799743652,control,C1_Cell1,control\C1_Cell1.xlsx
101,-289.110198974609,control,C1_Cell1,control\C1_Cell1.xlsx
102,-128.854125976562,control,C1_Cell1,control\C1_Cell1.xlsx
103,-164.429428100585,control,C1_Cell1,control\C1_Cell1.xlsx
104,-158.191680908203,control,C1_Cell1,control\C1_Cell1.xlsx
105,-196.282440185546,control,C1_Cell1,control\C1_Cell1.xlsx
106,-50.4028511047363,control,C1_Cell1,control\C1_Cell1.xlsx
107,-51.8573608398437,control,C1_Cell1,control\C1_Cell1.xlsx
108,-176.835891723632,control,C1_Cell1,control\C1_Cell1.xlsx
109,-117.544197082519,control,C1_Cell1,control\C1_Cell1.xlsx
110,-102.97312927246,control,C1_Cell1,control\C1_Cell1.xlsx
111,-58.6802177429199,control,C1_Cell1,control\C1_Cell1.xlsx
112,-163.778686523437,control,C1_Cell1,control\C1_Cell1.xlsx
113,-157.408615112304,control,C1_Cell1,control\C1_Cell1.xlsx
114,-261.228149414062,control,C1_Cell1,control\C1_Cell1.xlsx
115,-218.948348999023,control,C1_Cell1,control\C1_Cell1.xlsx
116,-159.17593383789,control,C1_Cell1,control\C1_Cell1.xlsx
117,-98.0471420288085,control,C1_Cell1,control\C1_Cell1.xlsx
118,-325.47802734375,control,C1_Cell1,control\C1_Cell1.xlsx
119,-157.323165893554,control,C1_Cell1,control\C1_Cell1.xlsx
120,-102.613853454589,control,C1_Cell1,control\C1_Cell1.xlsx
121,-61.4254875183105,control,C1_Cell1,control\C1_Cell1.xlsx
122,-65.3676147460937,control,C1_Cell1,control\C1_Cell1.xlsx
123,-74.8972473144531,control,C1_Cell1,control\C1_Cell1.xlsx
124,-54.722484588623,control,C1_Cell1,control\C1_Cell1.xlsx
125,-186.290664672851,control,C1_Cell1,control\C1_Cell1.xlsx
126,-186.081237792968,control,C1_Cell1,control\C1_Cell1.xlsx
128,-142.003219604492,control,C1_Cell1,control\C1_Cell1.xlsx
129,-61.7658767700195,control,C1_Cell1,control\C1_Cell1.xlsx
5000,-54.9256477355957,control,C1_Cell2,control\C1_Cell2.xlsx
5001,-48.1134033203125,control,C1_Cell2,control\C1_Cell2.xlsx
5002,-142.052932739257,control,C1_Cell2,control\C1_Cell2.xlsx
5003,-146.47019958496,control,C1_Cell2,control\C1_Cell2.xlsx
5004,-161.180221557617,control,C1_Cell2,control\C1_Cell2.xlsx
5005,-56.9031639099121,control,C1_Cell2,control\C1_Cell2.xlsx
5006,-89.6146774291992,control,C1_Cell2,control\C1_Cell2.xlsx
5007,-40.9352111816406,control,C1_Cell2,control\C1_Cell2.xlsx
5008,-54.1341819763183,control,C1_Cell2,control\C1_Cell2.xlsx
5009,-47.3119201660156,control,C1_Cell2,control\C1_Cell2.xlsx
5010,-57.5505256652832,control,C1_Cell2,control\C1_Cell2.xlsx
5011,-70.9865188598632,control,C1_Cell2,control\C1_Cell2.xlsx
5012,-206.078201293945,control,C1_Cell2,control\C1_Cell2.xlsx
5013,-95.9434204101562,control,C1_Cell2,control\C1_Cell2.xlsx
5014,-242.265197753906,control,C1_Cell2,control\C1_Cell2.xlsx
5015,-96.6174621582031,control,C1_Cell2,control\C1_Cell2.xlsx
5016,-65.8910064697265,control,C1_Cell2,control\C1_Cell2.xlsx
5017,-82.275520324707,control,C1_Cell2,control\C1_Cell2.xlsx
5018,-90.0192337036132,control,C1_Cell2,control\C1_Cell2.xlsx
5019,-80.582664489746,control,C1_Cell2,control\C1_Cell2.xlsx
5020,-120.303337097167,control,C1_Cell2,control\C1_Cell2.xlsx
5021,-123.185302734375,control,C1_Cell2,control\C1_Cell2.xlsx
5022,-78.0462646484375,control,C1_Cell2,control\C1_Cell2.xlsx
5023,-59.3238830566406,control,C1_Cell2,control\C1_Cell2.xlsx
5024,-107.523056030273,control,C1_Cell2,control\C1_Cell2.xlsx
5025,-162.179275512695,control,C1_Cell2,control\C1_Cell2.xlsx
5026,-53.5540771484375,control,C1_Cell2,control\C1_Cell2.xlsx
5027,-54.1181602478027,control,C1_Cell2,control\C1_Cell2.xlsx
5028,-46.4430923461914,control,C1_Cell2,control\C1_Cell2.xlsx
5029,-159.442398071289,control,C1_Cell2,control\C1_Cell2.xlsx
5030,-42.9908714294433,control,C1_Cell2,control\C1_Cell2.xlsx
5031,-43.5489501953125,control,C1_Cell2,control\C1_Cell2.xlsx
5032,-82.2880020141601,control,C1_Cell2,control\C1_Cell2.xlsx
5033,-43.0293502807617,control,C1_Cell2,control\C1_Cell2.xlsx
10000,-119.236656188964,control,C1_Cell3,control\C1_Cell3.xlsx
10001,-47.3999710083007,control,C1_Cell3,control\C1_Cell3.xlsx
10003,-135.749084472656,control,C1_Cell3,control\C1_Cell3.xlsx
10004,-92.8414688110351,control,C1_Cell3,control\C1_Cell3.xlsx
10005,-58.149169921875,control,C1_Cell3,control\C1_Cell3.xlsx
10006,-99.5810623168945,control,C1_Cell3,control\C1_Cell3.xlsx
10007,-38.8699836730957,control,C1_Cell3,control\C1_Cell3.xlsx
10008,-54.2762107849121,control,C1_Cell3,control\C1_Cell3.xlsx
10009,-42.784854888916,control,C1_Cell3,control\C1_Cell3.xlsx
10011,-160.229782104492,control,C1_Cell3,control\C1_Cell3.xlsx
10012,-80.0965194702148,control,C1_Cell3,control\C1_Cell3.xlsx
10013,-85.507469177246,control,C1_Cell3,control\C1_Cell3.xlsx
10014,-76.0228805541992,control,C1_Cell3,control\C1_Cell3.xlsx
10015,-87.563362121582,control,C1_Cell3,control\C1_Cell3.xlsx
10016,-76.181785583496,control,C1_Cell3,control\C1_Cell3.xlsx
10017,-82.6052474975585,control,C1_Cell3,control\C1_Cell3.xlsx
10018,-44.5773315429687,control,C1_Cell3,control\C1_Cell3.xlsx
10019,-39.1154479980468,control,C1_Cell3,control\C1_Cell3.xlsx
10020,-43.1486015319824,control,C1_Cell3,control\C1_Cell3.xlsx
10021,-84.1546020507812,control,C1_Cell3,control\C1_Cell3.xlsx
10022,-81.7023849487304,control,C1_Cell3,control\C1_Cell3.xlsx
10023,-100.626052856445,control,C1_Cell3,control\C1_Cell3.xlsx
10024,-54.6742324829101,control,C1_Cell3,control\C1_Cell3.xlsx
10025,-56.5162086486816,control,C1_Cell3,control\C1_Cell3.xlsx
10026,-78.8874282836914,control,C1_Cell3,control\C1_Cell3.xlsx
10027,-82.1431884765625,control,C1_Cell3,control\C1_Cell3.xlsx
10028,-56.7591743469238,control,C1_Cell3,control\C1_Cell3.xlsx
10029,-63.3484573364257,control,C1_Cell3,control\C1_Cell3.xlsx
10030,-103.462615966796,control,C1_Cell3,control\C1_Cell3.xlsx
10031,-38.1862144470214,control,C1_Cell3,control\C1_Cell3.xlsx
10032,-123.245170593261,control,C1_Cell3,control\C1_Cell3.xlsx
10033,-230.301239013671,control,C1_Cell3,control\C1_Cell3.xlsx
10034,-71.8294601440429,control,C1_Cell3,control\C1_Cell3.xlsx
10035,-48.772232055664,control,C1_Cell3,control\C1_Cell3.xlsx
10037,-57.5200424194335,control,C1_Cell3,control\C1_Cell3.xlsx
10038,-68.2115478515625,control,C1_Cell3,control\C1_Cell3.xlsx
10039,-89.677146911621,control,C1_Cell3,control\C1_Cell3.xlsx
10040,-49.4137344360351,control,C1_Cell3,control\C1_Cell3.xlsx
10041,-68.6410522460937,control,C1_Cell3,control\C1_Cell3.xlsx
10042,-136.570663452148,control,C1_Cell3,control\C1_Cell3.xlsx
10043,-105.57958984375,control,C1_Cell3,control\C1_Cell3.xlsx
10044,-44.4625587463378,control,C1_Cell3,control\C1_Cell3.xlsx
10047,-86.6906127929687,control,C1_Cell3,control\C1_Cell3.xlsx
10048,-40.5376091003417,control,C1_Cell3,control\C1_Cell3.xlsx
10049,-56.1888732910156,control,C1_Cell3,control\C1_Cell3.xlsx
10050,-81.937644958496,control,C1_Cell3,control\C1_Cell3.xlsx
10051,-58.5070075988769,control,C1_Cell3,control\C1_Cell3.xlsx
10052,-59.0474166870117,control,C1_Cell3,control\C1_Cell3.xlsx
10053,-171.618209838867,control,C1_Cell3,control\C1_Cell3.xlsx
10054,-186.234573364257,control,C1_Cell3,control\C1_Cell3.xlsx
10055,-40.9065475463867,control,C1_Cell3,control\C1_Cell3.xlsx
10056,-46.5973243713378,control,C1_Cell3,control\C1_Cell3.xlsx
10057,-60.6911849975585,control,C1_Cell3,control\C1_Cell3.xlsx
10058,-186.37400817871,control,C1_Cell3,control\C1_Cell3.xlsx
10059,-73.6286315917968,control,C1_Cell3,control\C1_Cell3.xlsx
10060,-39.2794227600097,control,C1_Cell3,control\C1_Cell3.xlsx
10061,-71.0833435058593,control,C1_Cell3,control\C1_Cell3.xlsx
10062,-47.439697265625,control,C1_Cell3,control\C1_Cell3.xlsx
10063,-49.7030868530273,control,C1_Cell3,control\C1_Cell3.xlsx
10064,-48.3551063537597,control,C1_Cell3,control\C1_Cell3.xlsx
10065,-67.0502319335937,control,C1_Cell3,control\C1_Cell3.xlsx
10066,-59.005313873291,control,C1_Cell3,control\C1_Cell3.xlsx
10067,-66.4842376708984,control,C1_Cell3,control\C1_Cell3.xlsx
10068,-67.046028137207,control,C1_Cell3,control\C1_Cell3.xlsx
10069,-89.9719085693359,control,C1_Cell3,control\C1_Cell3.xlsx
10070,-110.185493469238,control,C1_Cell3,control\C1_Cell3.xlsx
10071,-140.636840820312,control,C1_Cell3,control\C1_Cell3.xlsx
10072,-43.0696372985839,control,C1_Cell3,control\C1_Cell3.xlsx
10073,-67.7215881347656,control,C1_Cell3,control\C1_Cell3.xlsx
10074,-62.7425689697265,control,C1_Cell3,control\C1_Cell3.xlsx
10075,-74.4850311279296,control,C1_Cell3,control\C1_Cell3.xlsx
10076,-169.581344604492,control,C1_Cell3,control\C1_Cell3.xlsx
10077,-58.8774909973144,control,C1_Cell3,control\C1_Cell3.xlsx
10078,-169.910827636718,control,C1_Cell3,control\C1_Cell3.xlsx
10079,-132.549575805664,control,C1_Cell3,control\C1_Cell3.xlsx
10080,-66.9274597167968,control,C1_Cell3,control\C1_Cell3.xlsx
10081,-63.3780288696289,control,C1_Cell3,control\C1_Cell3.xlsx
10082,-76.6226119995117,control,C1_Cell3,control\C1_Cell3.xlsx
10083,-74.0244750976562,control,C1_Cell3,control\C1_Cell3.xlsx
10084,-71.877098083496,control,C1_Cell3,control\C1_Cell3.xlsx
10085,-45.7771072387695,control,C1_Cell3,control\C1_Cell3.xlsx
10087,-66.1447982788085,control,C1_Cell3,control\C1_Cell3.xlsx
10088,-55.270408630371,control,C1_Cell3,control\C1_Cell3.xlsx
10089,-39.4401702880859,control,C1_Cell3,control\C1_Cell3.xlsx
10090,-58.2273864746093,control,C1_Cell3,control\C1_Cell3.xlsx
10091,-44.3497772216796,control,C1_Cell3,control\C1_Cell3.xlsx
10092,-69.8784027099609,control,C1_Cell3,control\C1_Cell3.xlsx
10093,-55.0224876403808,control,C1_Cell3,control\C1_Cell3.xlsx
10094,-84.6637420654296,control,C1_Cell3,control\C1_Cell3.xlsx
10095,-144.162979125976,control,C1_Cell3,control\C1_Cell3.xlsx
10096,-74.1948089599609,control,C1_Cell3,control\C1_Cell3.xlsx
10097,-47.319709777832,control,C1_Cell3,control\C1_Cell3.xlsx
10098,-83.1398696899414,control,C1_Cell3,control\C1_Cell3.xlsx
10099,-47.7395439147949,control,C1_Cell3,control\C1_Cell3.xlsx
10100,-50.0858612060546,control,C1_Cell3,control\C1_Cell3.xlsx
10101,-78.2373275756835,control,C1_Cell3,control\C1_Cell3.xlsx
10102,-72.2294540405273,control,C1_Cell3,control\C1_Cell3.xlsx
10103,-83.0938110351562,control,C1_Cell3,control\C1_Cell3.xlsx
10104,-126.061820983886,control,C1_Cell3,control\C1_Cell3.xlsx
10105,-55.974063873291,control,C1_Cell3,control\C1_Cell3.xlsx
10106,-53.8488311767578,control,C1_Cell3,control\C1_Cell3.xlsx
10107,-54.1296958923339,control,C1_Cell3,control\C1_Cell3.xlsx
10108,-115.801612854003,control,C1_Cell3,control\C1_Cell3.xlsx
10109,-57.5699844360351,control,C1_Cell3,control\C1_Cell3.xlsx
10110,-95.9823760986328,control,C1_Cell3,control\C1_Cell3.xlsx
10111,-68.4496154785156,control,C1_Cell3,control\C1_Cell3.xlsx
10112,-192.338623046875,control,C1_Cell3,control\C1_Cell3.xlsx
10113,-39.5282974243164,control,C1_Cell3,control\C1_Cell3.xlsx
10114,-88.3943557739257,control,C1_Cell3,control\C1_Cell3.xlsx
10115,-52.0155715942382,control,C1_Cell3,control\C1_Cell3.xlsx
10116,-67.9721221923828,control,C1_Cell3,control\C1_Cell3.xlsx
10117,-103.495231628417,control,C1_Cell3,control\C1_Cell3.xlsx
10118,-70.9115905761718,control,C1_Cell3,control\C1_Cell3.xlsx
10119,-45.4122695922851,control,C1_Cell3,control\C1_Cell3.xlsx
10120,-65.9351806640625,control,C1_Cell3,control\C1_Cell3.xlsx
10121,-98.90576171875,control,C1_Cell3,control\C1_Cell3.xlsx
10122,-63.3182258605957,control,C1_Cell3,control\C1_Cell3.xlsx
10123,-56.2273902893066,control,C1_Cell3,control\C1_Cell3.xlsx
10124,-42.3126411437988,control,C1_Cell3,control\C1_Cell3.xlsx
10125,-45.6181564331054,control,C1_Cell3,control\C1_Cell3.xlsx
10126,-49.3132743835449,control,C1_Cell3,control\C1_Cell3.xlsx
10127,-83.7557373046875,control,C1_Cell3,control\C1_Cell3.xlsx
10128,-100.594245910644,control,C1_Cell3,control\C1_Cell3.xlsx
10129,-110.681854248046,control,C1_Cell3,control\C1_Cell3.xlsx
10130,-49.5525093078613,control,C1_Cell3,control\C1_Cell3.xlsx
10131,-150.136016845703,control,C1_Cell3,control\C1_Cell3.xlsx
10135,-55.8899917602539,control,C1_Cell3,control\C1_Cell3.xlsx
10136,-80.154182434082,control,C1_Cell3,control\C1_Cell3.xlsx
10137,-71.0410995483398,control,C1_Cell3,control\C1_Cell3.xlsx
10138,-89.4837036132812,control,C1_Cell3,control\C1_Cell3.xlsx
10139,-57.2946891784667,control,C1_Cell3,control\C1_Cell3.xlsx
10140,-42.2764053344726,control,C1_Cell3,control\C1_Cell3.xlsx
10141,-74.0849151611328,control,C1_Cell3,control\C1_Cell3.xlsx
10142,-69.8205032348632,control,C1_Cell3,control\C1_Cell3.xlsx
10143,-40.1575050354003,control,C1_Cell3,control\C1_Cell3.xlsx
10144,-233.183975219726,control,C1_Cell3,control\C1_Cell3.xlsx
10145,-39.9221687316894,control,C1_Cell3,control\C1_Cell3.xlsx
10146,-45.4404335021972,control,C1_Cell3,control\C1_Cell3.xlsx
10147,-109.310745239257,control,C1_Cell3,control\C1_Cell3.xlsx
10148,-67.6240921020507,control,C1_Cell3,control\C1_Cell3.xlsx
10149,-110.21060180664,control,C1_Cell3,control\C1_Cell3.xlsx
10150,-81.5291290283203,control,C1_Cell3,control\C1_Cell3.xlsx
10151,-72.6786880493164,control,C1_Cell3,control\C1_Cell3.xlsx
10152,-45.6750221252441,control,C1_Cell3,control\C1_Cell3.xlsx
10156,-74.1177749633789,control,C1_Cell3,control\C1_Cell3.xlsx
10157,-49.8993034362792,control,C1_Cell3,control\C1_Cell3.xlsx
10158,-136.653335571289,control,C1_Cell3,control\C1_Cell3.xlsx
10159,-104.384216308593,control,C1_Cell3,control\C1_Cell3.xlsx
10160,-64.5822525024414,control,C1_Cell3,control\C1_Cell3.xlsx
10161,-62.6926956176757,control,C1_Cell3,control\C1_Cell3.xlsx
10162,-49.8076438903808,control,C1_Cell3,control\C1_Cell3.xlsx
10163,-61.5298767089843,control,C1_Cell3,control\C1_Cell3.xlsx
10164,-99.5213088989257,control,C1_Cell3,control\C1_Cell3.xlsx
10165,-57.6141204833984,control,C1_Cell3,control\C1_Cell3.xlsx
10166,-116.812843322753,control,C1_Cell3,control\C1_Cell3.xlsx
10167,-54.6100730895996,control,C1_Cell3,control\C1_Cell3.xlsx
10168,-42.5540008544921,control,C1_Cell3,control\C1_Cell3.xlsx
10169,-74.3127288818359,control,C1_Cell3,control\C1_Cell3.xlsx
10170,-52.5942268371582,control,C1_Cell3,control\C1_Cell3.xlsx
10171,-274.010803222656,control,C1_Cell3,control\C1_Cell3.xlsx
10172,-41.4091262817382,control,C1_Cell3,control\C1_Cell3.xlsx
10173,-59.4818267822265,control,C1_Cell3,control\C1_Cell3.xlsx
15000,-72.3972549438476,control,C1_Cell4,control\C1_Cell4.xlsx
15001,-35.39058303833,control,C1_Cell4,control\C1_Cell4.xlsx
15002,-62.9525909423828,control,C1_Cell4,control\C1_Cell4.xlsx
15005,-41.6007652282714,control,C1_Cell4,control\C1_Cell4.xlsx
15006,-53.4031677246093,control,C1_Cell4,control\C1_Cell4.xlsx
15007,-43.7598342895507,control,C1_Cell4,control\C1_Cell4.xlsx
15008,-133.098434448242,control,C1_Cell4,control\C1_Cell4.xlsx
15009,-71.9702224731445,control,C1_Cell4,control\C1_Cell4.xlsx
15013,-61.1792259216308,control,C1_Cell4,control\C1_Cell4.xlsx
15014,-42.3626441955566,control,C1_Cell4,control\C1_Cell4.xlsx
15015,-73.4886856079101,control,C1_Cell4,control\C1_Cell4.xlsx
15016,-49.9209327697753,control,C1_Cell4,control\C1_Cell4.xlsx
15017,-41.2183227539062,control,C1_Cell4,control\C1_Cell4.xlsx
15018,-68.2922134399414,control,C1_Cell4,control\C1_Cell4.xlsx
15019,-50.8630752563476,control,C1_Cell4,control\C1_Cell4.xlsx
15020,-109.083862304687,control,C1_Cell4,control\C1_Cell4.xlsx
15021,-44.8699035644531,control,C1_Cell4,control\C1_Cell4.xlsx
15023,-203.227493286132,control,C1_Cell4,control\C1_Cell4.xlsx
15024,-43.8183975219726,control,C1_Cell4,control\C1_Cell4.xlsx
15026,-35.6090393066406,control,C1_Cell4,control\C1_Cell4.xlsx
15027,-36.6310882568359,control,C1_Cell4,control\C1_Cell4.xlsx
15028,-24.7109699249267,control,C1_Cell4,control\C1_Cell4.xlsx
15029,-41.2991333007812,control,C1_Cell4,control\C1_Cell4.xlsx
15030,-48.1459083557128,control,C1_Cell4,control\C1_Cell4.xlsx
15031,-46.320816040039,control,C1_Cell4,control\C1_Cell4.xlsx
15032,-55.9531021118164,control,C1_Cell4,control\C1_Cell4.xlsx
15033,-72.5507354736328,control,C1_Cell4,control\C1_Cell4.xlsx
15034,-67.4466400146484,control,C1_Cell4,control\C1_Cell4.xlsx
15035,-49.5366859436035,control,C1_Cell4,control\C1_Cell4.xlsx
15036,-122.831672668457,control,C1_Cell4,control\C1_Cell4.xlsx
15037,-39.0252838134765,control,C1_Cell4,control\C1_Cell4.xlsx
15038,-337.58071899414,control,C1_Cell4,control\C1_Cell4.xlsx
15039,-34.2427825927734,control,C1_Cell4,control\C1_Cell4.xlsx
15040,-169.783203125,control,C1_Cell4,control\C1_Cell4.xlsx
15041,-152.352478027343,control,C1_Cell4,control\C1_Cell4.xlsx
15042,-60.7287940979003,control,C1_Cell4,control\C1_Cell4.xlsx
15043,-95.8716125488281,control,C1_Cell4,control\C1_Cell4.xlsx
15044,-44.8843955993652,control,C1_Cell4,control\C1_Cell4.xlsx
15046,-65.1442413330078,control,C1_Cell4,control\C1_Cell4.xlsx
15047,-65.6856002807617,control,C1_Cell4,control\C1_Cell4.xlsx
15048,-59.2777557373046,control,C1_Cell4,control\C1_Cell4.xlsx
15049,-140.632858276367,control,C1_Cell4,control\C1_Cell4.xlsx
15050,-49.1326560974121,control,C1_Cell4,control\C1_Cell4.xlsx
15051,-60.7437896728515,control,C1_Cell4,control\C1_Cell4.xlsx
15052,-69.3774948120117,control,C1_Cell4,control\C1_Cell4.xlsx
15053,-41.2119941711425,control,C1_Cell4,control\C1_Cell4.xlsx
15054,-37.1910514831542,control,C1_Cell4,control\C1_Cell4.xlsx
15055,-27.2505683898925,control,C1_Cell4,control\C1_Cell4.xlsx
15056,-80.1447830200195,control,C1_Cell4,control\C1_Cell4.xlsx
15057,-24.3798580169677,control,C1_Cell4,control\C1_Cell4.xlsx
15059,-84.6588821411132,control,C1_Cell4,control\C1_Cell4.xlsx
15060,-41.3068885803222,control,C1_Cell4,control\C1_Cell4.xlsx
15061,-28.3516845703125,control,C1_Cell4,control\C1_Cell4.xlsx
15063,-81.2121200561523,control,C1_Cell4,control\C1_Cell4.xlsx
15064,-56.8185844421386,control,C1_Cell4,control\C1_Cell4.xlsx
15065,-54.7712211608886,control,C1_Cell4,control\C1_Cell4.xlsx
15066,-37.4676818847656,control,C1_Cell4,control\C1_Cell4.xlsx
15067,-60.3007469177246,control,C1_Cell4,control\C1_Cell4.xlsx
15068,-39.0123443603515,control,C1_Cell4,control\C1_Cell4.xlsx
15069,-70.3985061645507,control,C1_Cell4,control\C1_Cell4.xlsx
15070,-59.4669609069824,control,C1_Cell4,control\C1_Cell4.xlsx
