,Interevent-Interval_[ms],group,cell_ID,extras_path
84,1077.39855957031,control,C1_Cell1,control\C1_Cell1.xlsx
85,911.999938964843,control,C1_Cell1,control\C1_Cell1.xlsx
86,430.8984375,control,C1_Cell1,control\C1_Cell1.xlsx
87,239.703247070312,control,C1_Cell1,control\C1_Cell1.xlsx
88,417.203125,control,C1_Cell1,control\C1_Cell1.xlsx
89,47.3983116149902,control,C1_Cell1,control\C1_Cell1.xlsx
90,1029.8984375,control,C1_Cell1,control\C1_Cell1.xlsx
91,1811.1015625,control,C1_Cell1,control\C1_Cell1.xlsx
92,54.0,control,C1_Cell1,control\C1_Cell1.xlsx
93,1522.6953125,control,C1_Cell1,control\C1_Cell1.xlsx
94,947.906311035156,control,C1_Cell1,control\C1_Cell1.xlsx
95,543.093627929687,control,C1_Cell1,control\C1_Cell1.xlsx
96,1193.0,control,C1_Cell1,control\C1_Cell1.xlsx
97,605.3046875,control,C1_Cell1,control\C1_Cell1.xlsx
98,222.0,control,C1_Cell1,control\C1_Cell1.xlsx
99,780.1015625,control,C1_Cell1,control\C1_Cell1.xlsx
100,62.7969360351562,control,C1_Cell1,control\C1_Cell1.xlsx
101,124.1015625,control,C1_Cell1,control\C1_Cell1.xlsx
102,614.500122070312,control,C1_Cell1,control\C1_Cell1.xlsx
103,1011.99981689453,control,C1_Cell1,control\C1_Cell1.xlsx
104,1435.8984375,control,C1_Cell1,control\C1_Cell1.xlsx
105,312.296905517578,control,C1_Cell1,control\C1_Cell1.xlsx
106,179.203094482421,control,C1_Cell1,control\C1_Cell1.xlsx
107,105.398460388183,control,C1_Cell1,control\C1_Cell1.xlsx
108,60.0001258850097,control,C1_Cell1,control\C1_Cell1.xlsx
109,994.304626464843,control,C1_Cell1,control\C1_Cell1.xlsx
110,1327.49987792968,control,C1_Cell1,control\C1_Cell1.xlsx
111,82.6953353881835,control,C1_Cell1,control\C1_Cell1.xlsx
112,1509.10168457031,control,C1_Cell1,control\C1_Cell1.xlsx
113,837.898376464843,control,C1_Cell1,control\C1_Cell1.xlsx
114,430.703094482421,control,C1_Cell1,control\C1_Cell1.xlsx
115,107.101646423339,control,C1_Cell1,control\C1_Cell1.xlsx
116,223.296936035156,control,C1_Cell1,control\C1_Cell1.xlsx
117,439.601440429687,control,C1_Cell1,control\C1_Cell1.xlsx
118,291.398498535156,control,C1_Cell1,control\C1_Cell1.xlsx
119,934.1015625,control,C1_Cell1,control\C1_Cell1.xlsx
120,360.398376464843,control,C1_Cell1,control\C1_Cell1.xlsx
121,2159.796875,control,C1_Cell1,control\C1_Cell1.xlsx
122,483.203125,control,C1_Cell1,control\C1_Cell1.xlsx
123,3939.89868164062,control,C1_Cell1,control\C1_Cell1.xlsx
124,777.304565429687,control,C1_Cell1,control\C1_Cell1.xlsx
125,1068.0,control,C1_Cell1,control\C1_Cell1.xlsx
126,86.5938339233398,control,C1_Cell1,control\C1_Cell1.xlsx
128,257.101623535156,control,C1_Cell1,control\C1_Cell1.xlsx
129,1075.20288085937,control,C1_Cell1,control\C1_Cell1.xlsx
5001,1962.90002441406,control,C1_Cell2,control\C1_Cell2.xlsx
5002,4112.99951171875,control,C1_Cell2,control\C1_Cell2.xlsx
5003,5403.6005859375,control,C1_Cell2,control\C1_Cell2.xlsx
5004,2076.3994140625,control,C1_Cell2,control\C1_Cell2.xlsx
5005,6339.2001953125,control,C1_Cell2,control\C1_Cell2.xlsx
