,batch,culture,group,time,spine_ID,RawIntDen,size_diff,size_diff_normed
270,7032022,W4C1,rMS,day4,1,6072.0,-221.0,-0.036396574440052704
271,7032022,W4C1,rMS,day4,2,2460.0,-523.0,-0.21260162601626018
272,7032022,W4C1,rMS,day4,3,4530.0,-766.0,-0.16909492273730684
273,7032022,W4C1,rMS,day4,4,13735.0,-3622.0,-0.2637058609392064
274,7032022,W4C1,rMS,day4,5,11275.0,-5538.0,-0.4911751662971175
275,7032022,W4C1,rMS,day4,6,8812.0,-5546.0,-0.6293690422151611
276,7032022,W4C1,rMS,day4,7,21224.0,-2354.0,-0.11091217489634377
277,7032022,W4C1,rMS,day4,8,35287.0,-25951.0,-0.735426644373282
278,7032022,W4C1,rMS,day4,9,5166.0,4573.0,0.8852109949670925
279,7032022,W4C1,rMS,day4,10,3221.0,-1527.0,-0.47407637379695744
280,7032022,W4C1,rMS,day4,11,2882.0,1751.0,0.6075641915336571
281,7032022,W4C1,rMS,day4,12,5117.0,341.0,0.066640609732265
282,7032022,W4C1,rMS,day4,13,5468.0,6847.0,1.2521945866861741
283,7032022,W4C1,rMS,day4,14,7846.0,-4853.0,-0.6185317359163905
284,7032022,W4C1,rMS,day4,15,9575.0,4951.0,0.5170757180156658
285,7032022,W4C1,rMS,day4,16,3654.0,2419.0,0.6620142309797482
286,7032022,W4C1,rMS,day4,17,7821.0,-2878.0,-0.36798363380641863
287,7032022,W4C1,rMS,day4,18,4064.0,12656.0,3.1141732283464565
288,7032022,W4C1,rMS,day4,19,2766.0,18112.0,6.548083875632683
289,7032022,W4C1,rMS,day4,20,8236.0,2384.0,0.28946090335114133
290,7032022,W4C1,rMS,day4,21,3976.0,-179.0,-0.04502012072434608
291,7032022,W4C1,rMS,day4,22,12385.0,2814.0,0.2272103350827614
292,7032022,W4C1,rMS,day4,23,9830.0,9256.0,0.9416073245167853
293,7032022,W4C1,rMS,day4,24,5377.0,11508.0,2.140226892319137
294,7032022,W4C1,rMS,day4,25,6304.0,1691.0,0.26824238578680204
295,7032022,W4C1,rMS,day4,26,48761.0,-43850.0,-0.8992842640634934
296,7032022,W4C1,rMS,day4,27,18900.0,1446.0,0.07650793650793651
297,7032022,W4C1,rMS,day4,28,8131.0,-5124.0,-0.6301807895707785
298,7032022,W4C1,rMS,day4,29,19768.0,-15248.0,-0.7713476325374342
299,7032022,W4C1,rMS,day4,30,2781.0,783.0,0.2815533980582524
816,7032022,W4C1,rMS,day4,1,2711.0,751.0,0.27701954998155665
817,7032022,W4C1,rMS,day4,2,6956.0,-2168.0,-0.31167337550316276
818,7032022,W4C1,rMS,day4,3,3928.0,-1415.0,-0.36023421588594706
819,7032022,W4C1,rMS,day4,4,2716.0,-484.0,-0.17820324005891017
820,7032022,W4C1,rMS,day4,5,6676.0,420.0,0.06291192330736968
821,7032022,W4C1,rMS,day4,6,25842.0,-6804.0,-0.263292314836313
822,7032022,W4C1,rMS,day4,7,5545.0,2930.0,0.5284039675383229
823,7032022,W4C1,rMS,day4,8,15040.0,-5462.0,-0.36316489361702126
824,7032022,W4C1,rMS,day4,9,2439.0,88.0,0.03608036080360803
825,7032022,W4C1,rMS,day4,10,10353.0,7582.0,0.7323481116584565
826,7032022,W4C1,rMS,day4,11,4959.0,9144.0,1.8439201451905627
827,7032022,W4C1,rMS,day4,12,10104.0,-4385.0,-0.4339865399841647
828,7032022,W4C1,rMS,day4,13,12910.0,-4689.0,-0.36320681642137875
829,7032022,W4C1,rMS,day4,14,8967.0,244.0,0.027210884353741496
830,7032022,W4C1,rMS,day4,15,5404.0,-1326.0,-0.24537379718726868
831,7032022,W4C1,rMS,day4,16,10888.0,-4936.0,-0.4533431300514328
832,7032022,W4C1,rMS,day4,17,6552.0,-4097.0,-0.6253052503052503
833,7032022,W4C1,rMS,day4,18,11098.0,-7366.0,-0.6637231933681744
834,7032022,W4C1,rMS,day4,19,10806.0,2226.0,0.2059966685174903
835,7032022,W4C1,rMS,day4,20,7264.0,-3523.0,-0.48499449339207046
836,7032022,W4C1,rMS,day4,21,7807.0,1284.0,0.1644677853208659
837,7032022,W4C1,rMS,day4,22,5261.0,1483.0,0.2818855730849648
838,7032022,W4C1,rMS,day4,23,7543.0,-5016.0,-0.6649874055415617
839,7032022,W4C1,rMS,day4,24,7639.0,-4758.0,-0.6228563948160754
840,7032022,W4C1,rMS,day4,25,7795.0,-519.0,-0.06658114175753688
841,7032022,W4C1,rMS,day4,26,3934.0,1320.0,0.3355363497712252
842,7032022,W4C1,rMS,day4,27,7600.0,2881.0,0.37907894736842107
843,7032022,W4C1,rMS,day4,28,4538.0,1353.0,0.2981489643014544
844,7032022,W4C1,rMS,day4,29,13179.0,-10581.0,-0.8028681994081494
845,7032022,W4C1,rMS,day4,30,23785.0,-16044.0,-0.6745427790624343
846,7032022,W4C1,rMS,day4,31,3191.0,13205.0,4.138201190849264
847,7032022,W4C1,rMS,day4,32,4794.0,-992.0,-0.2069253233208177
848,7032022,W4C1,rMS,day4,33,6337.0,-3083.0,-0.48650781126716114
849,7032022,W4C1,rMS,day4,34,9303.0,-6739.0,-0.7243899817263248
850,7032022,W4C1,rMS,day4,35,11128.0,-8405.0,-0.7553019410496046
851,7032022,W4C1,rMS,day4,36,10699.0,-5325.0,-0.4977100663613422
852,7032022,W4C1,rMS,day4,37,12075.0,-5388.0,-0.4462111801242236
853,7032022,W4C1,rMS,day4,38,3843.0,-2312.0,-0.6016133229247983
854,7032022,W4C1,rMS,day4,39,11711.0,-2235.0,-0.19084621296217233
855,7032022,W4C1,rMS,day4,40,2632.0,2752.0,1.0455927051671732
856,7032022,W4C1,rMS,day4,41,11353.0,-8842.0,-0.7788249801814499
857,7032022,W4C1,rMS,day4,42,4192.0,-1460.0,-0.3482824427480916
858,7032022,W4C1,rMS,day4,43,11985.0,-3490.0,-0.2911973299958281
859,7032022,W4C1,rMS,day4,44,11834.0,3168.0,0.2677032279871557
860,7032022,W4C1,rMS,day4,45,10175.0,-2098.0,-0.2061916461916462
861,7032022,W4C1,rMS,day4,46,4976.0,-1085.0,-0.21804662379421222
862,7032022,W4C1,rMS,day4,47,4051.0,-254.0,-0.06270056776104665
863,7032022,W4C1,rMS,day4,48,8163.0,-1180.0,-0.1445546980276859
864,7032022,W4C1,rMS,day4,49,5034.0,752.0,0.14938418752483115
865,7032022,W4C1,rMS,day4,50,8378.0,-1582.0,-0.1888278825495345
866,7032022,W4C1,rMS,day4,51,7050.0,-1589.0,-0.22539007092198582
867,7032022,W4C1,rMS,day4,52,8590.0,174.0,0.020256111757857975
868,7032022,W4C1,rMS,day4,53,11197.0,-10046.0,-0.8972046083772439
869,7032022,W4C1,rMS,day4,54,2671.0,2164.0,0.8101834518906776
3668,21042022,W1C3,rMS,day4,1,7356.0,-2742.0,-0.3727569331158238
3669,21042022,W1C3,rMS,day4,2,14823.0,-4055.0,-0.2735613573500641
