,batch,culture,group,time,spine_ID,RawIntDen,size_diff,size_diff_normed
1575,21042022,W3C1,control,day4-h2,26,3944.0,-767.0,-0.19447261663286003
1576,21042022,W3C1,control,day4-h2,27,3538.0,-1670.0,-0.47201808931599776
1577,21042022,W3C1,control,day4-h2,28,2511.0,115.0,0.04579848665870171
1578,21042022,W3C1,control,day4-h2,29,1703.0,41.0,0.024075161479741633
1579,21042022,W3C1,control,day4-h2,30,9650.0,-5459.0,-0.565699481865285
1580,21042022,W3C1,control,day4-h2,31,2632.0,1361.0,0.51709726443769
1581,21042022,W3C1,control,day4-h2,32,2492.0,4027.0,1.6159711075441412
1582,21042022,W3C1,control,day4-h2,33,2540.0,165.0,0.06496062992125984
1583,21042022,W3C1,control,day4-h2,34,17666.0,-4103.0,-0.23225404732254049
1584,21042022,W3C1,control,day4-h2,35,11357.0,-5737.0,-0.5051510081887822
1995,21042022,W3C4,control,day4-h2,1,2979.0,-1093.0,-0.3669016448472642
1996,21042022,W3C4,control,day4-h2,2,2963.0,-1302.0,-0.4394195072561593
1997,21042022,W3C4,control,day4-h2,3,2785.0,-1176.0,-0.422262118491921
1998,21042022,W3C4,control,day4-h2,4,12913.0,-6757.0,-0.5232711221249903
1999,21042022,W3C4,control,day4-h2,5,2240.0,69.0,0.03080357142857143
2000,21042022,W3C4,control,day4-h2,6,1228.0,683.0,0.5561889250814332
2001,21042022,W3C4,control,day4-h2,7,2462.0,1025.0,0.41632818846466285
2002,21042022,W3C4,control,day4-h2,8,208.0,257.0,1.2355769230769231
2003,21042022,W3C4,control,day4-h2,9,8411.0,-5358.0,-0.637022946141957
2004,21042022,W3C4,control,day4-h2,10,6096.0,-13.0,-0.00213254593175853
2005,21042022,W3C4,control,day4-h2,11,4640.0,587.0,0.12650862068965518
2006,21042022,W3C4,control,day4-h2,12,1692.0,1972.0,1.16548463356974
2007,21042022,W3C4,control,day4-h2,13,2962.0,-1486.0,-0.5016880486158002
2008,21042022,W3C4,control,day4-h2,14,5964.0,944.0,0.15828303152246814
2009,21042022,W3C4,control,day4-h2,15,6144.0,2800.0,0.4557291666666667
2010,21042022,W3C4,control,day4-h2,16,2559.0,-968.0,-0.37827276279796795
2011,21042022,W3C4,control,day4-h2,17,1883.0,-516.0,-0.2740308019118428
2012,21042022,W3C4,control,day4-h2,18,4162.0,1065.0,0.25588659298414224
2013,21042022,W3C4,control,day4-h2,19,9918.0,-5078.0,-0.5119983867715265
2014,21042022,W3C4,control,day4-h2,20,4277.0,-1346.0,-0.31470657002571895
2015,21042022,W3C4,control,day4-h2,21,14622.0,-2870.0,-0.19627957871700177
2016,21042022,W3C4,control,day4-h2,22,13890.0,-8232.0,-0.5926565874730022
2017,21042022,W3C4,control,day4-h2,23,4011.0,460.0,0.11468461730241834
2018,21042022,W3C4,control,day4-h2,24,15836.0,-9570.0,-0.6043192725435717
2019,21042022,W3C4,control,day4-h2,25,4493.0,2798.0,0.6227464945470732
2020,21042022,W3C4,control,day4-h2,26,1641.0,420.0,0.25594149908592323
2021,21042022,W3C4,control,day4-h2,27,2028.0,844.0,0.4161735700197239
2022,21042022,W3C4,control,day4-h2,28,2029.0,1629.0,0.80285855101035
2023,21042022,W3C4,control,day4-h2,29,3029.0,6753.0,2.2294486629250576
2024,21042022,W3C4,control,day4-h2,30,1685.0,102.0,0.060534124629080116
2025,21042022,W3C4,control,day4-h2,31,6223.0,-827.0,-0.13289410252289893
2026,21042022,W3C4,control,day4-h2,32,7384.0,-4945.0,-0.6696912242686891
2027,21042022,W3C4,control,day4-h2,33,4860.0,446.0,0.09176954732510288
2028,21042022,W3C4,control,day4-h2,34,6085.0,-1.0,-0.00016433853738701725
2029,21042022,W3C4,control,day4-h2,35,1166.0,3307.0,2.8361921097770155
2030,21042022,W3C4,control,day4-h2,36,4242.0,7597.0,1.790900518623291
2031,21042022,W3C4,control,day4-h2,37,1028.0,476.0,0.46303501945525294
2032,21042022,W3C4,control,day4-h2,38,7758.0,577.0,0.07437483887599897
2033,21042022,W3C4,control,day4-h2,39,2931.0,-627.0,-0.21392016376663256
2034,21042022,W3C4,control,day4-h2,40,3166.0,-1533.0,-0.48420720151610863
2035,21042022,W3C4,control,day4-h2,41,3055.0,-786.0,-0.2572831423895254
2036,21042022,W3C4,control,day4-h2,42,4256.0,-1302.0,-0.3059210526315789
2037,21042022,W3C4,control,day4-h2,43,4794.0,416.0,0.08677513558614935
2038,21042022,W3C4,control,day4-h2,44,7628.0,-3253.0,-0.4264551651809124
2039,21042022,W3C4,control,day4-h2,45,6450.0,-1408.0,-0.21829457364341084
2040,21042022,W3C4,control,day4-h2,46,8381.0,-6666.0,-0.7953704808495407
2041,21042022,W3C4,control,day4-h2,47,19667.0,-2622.0,-0.13331977424111455
2472,21042022,W3C4,control,day4-h2,1,7942.0,2150.0,0.2707126668345505
2473,21042022,W3C4,control,day4-h2,2,5978.0,-1150.0,-0.19237203077952492
2474,21042022,W3C4,control,day4-h2,3,3725.0,1456.0,0.3908724832214765
2475,21042022,W3C4,control,day4-h2,4,19304.0,-11989.0,-0.6210629921259843
2476,21042022,W3C4,control,day4-h2,5,5334.0,-1285.0,-0.24090738657667793
2477,21042022,W3C4,control,day4-h2,6,7814.0,-1611.0,-0.20616841566419247
2478,21042022,W3C4,control,day4-h2,7,7813.0,1527.0,0.19544349161653654
2479,21042022,W3C4,control,day4-h2,8,4011.0,5947.0,1.4826726502119172
2480,21042022,W3C4,control,day4-h2,9,8896.0,-1957.0,-0.2199865107913669
2481,21042022,W3C4,control,day4-h2,10,9323.0,-1246.0,-0.13364796739247023
2482,21042022,W3C4,control,day4-h2,11,7787.0,816.0,0.10479003467317324
2483,21042022,W3C4,control,day4-h2,12,5987.0,683.0,0.11408050776682813
2484,21042022,W3C4,control,day4-h2,13,4019.0,1962.0,0.4881811395869619
2485,21042022,W3C4,control,day4-h2,14,7584.0,1459.0,0.19237869198312235
2486,21042022,W3C4,control,day4-h2,15,2947.0,3713.0,1.2599253478113335
2487,21042022,W3C4,control,day4-h2,16,3177.0,7956.0,2.5042492917847023
2488,21042022,W3C4,control,day4-h2,17,7241.0,346.0,0.047783455323850296
2489,21042022,W3C4,control,day4-h2,18,22792.0,-11442.0,-0.502018252018252
2490,21042022,W3C4,control,day4-h2,19,9325.0,1611.0,0.1727613941018767
2491,21042022,W3C4,control,day4-h2,20,3344.0,3504.0,1.0478468899521531
2492,21042022,W3C4,control,day4-h2,21,7833.0,-3070.0,-0.3919315715562364
2493,21042022,W3C4,control,day4-h2,22,3298.0,1011.0,0.30654942389326867
2494,21042022,W3C4,control,day4-h2,23,17722.0,-5669.0,-0.3198848888387315
2495,21042022,W3C4,control,day4-h2,24,10576.0,-2371.0,-0.22418683812405446
2496,21042022,W3C4,control,day4-h2,25,13888.0,-4234.0,-0.3048675115207373
2497,21042022,W3C4,control,day4-h2,26,5681.0,4280.0,0.7533884879422637
